"sourceCode";"sourceName";"targetCode";"targetName"
"817263992";"FÆRDER KOMMUNE";"3811";"Færder"
"820710592";"LILLESTRØM KOMMUNE";"3030";"Lillestrøm"
"820852982";"KRISTIANSAND KOMMUNE";"4204";"Kristiansand"
"820956532";"KINN KOMMUNE";"4602";"Kinn"
"822534422";"SANDE KOMMUNE";"1514";"Sande"
"834210622";"BØMLO KOMMUNE";"4613";"Bømlo"
"835231712";"MERÅKER KOMMUNE";"5034";"Meråker"
"839893132";"NORD-FRON KOMMUNE";"3436";"Nord-Fron"
"839953062";"UNJÁRGGA GIELDA/NESSEBY KOMMUNE";"5442";"Unjárga - Nesseby"
"840014932";"LYNGEN KOMMUNE";"5424";"Lyngen"
"840029212";"STEINKJER KOMMUNE";"5006";"Steinkjer"
"842566142";"LØRENSKOG KOMMUNE";"3029";"Lørenskog"
"844458312";"BJØRNAFJORDEN KOMMUNE";"4624";"Bjørnafjorden"
"844824122";"VEFSN KOMMUNE";"1824";"Vefsn"
"845152012";"ØKSNES KOMMUNE";"1868";"Øksnes"
"845153272";"FLATANGER KOMMUNE";"5049";"Flatanger"
"845901422";"GILDESKÅL KOMMUNE";"1838";"Gildeskål"
"846316442";"HEMNES KOMMUNE";"1832";"Hemnes"
"847737492";"SORTLAND KOMMUNE/SUORTTÁ SOUHKAN";"1870";"Sortland - Suortá"
"857566122";"LIER KOMMUNE";"3049";"Lier"
"859223672";"TIME KOMMUNE";"1121";"Time"
"861381722";"NORDRE LAND KOMMUNE";"3448";"Nordre Land"
"863320852";"FLAKSTAD KOMMUNE";"1859";"Flakstad"
"864338712";"OSTERØY KOMMUNE";"4630";"Osterøy"
"864948502";"TRYSIL KOMMUNE";"3421";"Trysil"
"864949762";"GJERDRUM KOMMUNE";"3032";"Gjerdrum"
"864950582";"RINGSAKER KOMMUNE";"3411";"Ringsaker"
"864952992";"ÅL KOMMUNE";"3043";"Ål"
"864953042";"SILJAN KOMMUNE";"3812";"Siljan"
"864963552";"TINN KOMMUNE";"3818";"Tinn"
"864964702";"GRIMSTAD KOMMUNE";"4202";"Grimstad"
"864965962";"ÅMLI KOMMUNE";"4217";"Åmli"
"864966012";"IVELAND KOMMUNE";"4218";"Iveland"
"864967272";"SVEIO KOMMUNE";"4612";"Sveio"
"864968422";"FJALER KOMMUNE";"4646";"Fjaler"
"864969682";"KLEPP KOMMUNE";"1120";"Klepp"
"864979092";"HJELMELAND KOMMUNE";"1133";"Hjelmeland"
"864980902";"RAUMA KOMMUNE";"1539";"Rauma"
"864982212";"NAMSSKOGAN KOMMUNE";"5044";"Namsskogan"
"864983472";"TYDAL KOMMUNE";"5033";"Tydal"
"864993982";"BARDU KOMMUNE";"5416";"Bardu"
"864994032";"DYRØY KOMMUNE";"5420";"Dyrøy"
"871034222";"VÅLER KOMMUNE";"3419";"Våler (Innlandet)"
"872417982";"HERØY KOMMUNE";"1818";"Herøy (Nordland)"
"872418032";"RANA KOMMUNE";"1833";"Rana"
"916882807";"SANDEFJORD KOMMUNE";"3804";"Sandefjord"
"917151229";"HOLMESTRAND KOMMUNE";"3802";"Holmestrand"
"918082956";"LARVIK KOMMUNE";"3805";"Larvik"
"920123899";"INDRE ØSTFOLD KOMMUNE";"3014";"Indre Østfold"
"920125298";"ASKER KOMMUNE";"3025";"Asker"
"920290922";"ALVER KOMMUNE";"4631";"Alver"
"920297293";"MIDT-TELEMARK KOMMUNE";"3817";"Midt-Telemark"
"920415288";"ÅLESUND KOMMUNE";"1507";"Ålesund"
"920500633";"ULLENSVANG KOMMUNE";"4618";"Ullensvang"
"920817521";"MOSS KOMMUNE";"3002";"Moss"
"920920004";"HEIM KOMMUNE";"5055";"Heim"
"921060157";"STAD KOMMUNE";"4649";"Stad"
"921060440";"LINDESNES KOMMUNE";"4205";"Lindesnes"
"921133642";"HUSTADVIKA KOMMUNE";"1579";"Hustadvika"
"921221967";"MOLDE KOMMUNE";"1506";"Molde"
"921233418";"ORKLAND KOMMUNE";"5059";"Orkland"
"921234554";"DRAMMEN KOMMUNE";"3005";"Drammen"
"921244207";"SUNNFJORD KOMMUNE";"4647";"Sunnfjord"
"921369417";"SENJA KOMMUNE";"5421";"Senja"
"921383681";"TØNSBERG KOMMUNE";"3803";"Tønsberg"
"921770669";"HAMMERFEST KOMMUNE/HÁMMERFEASTTA SUOHKAN";"5406";"Hammerfest - Hámmerfeasta"
"921785410";"NÆRØYSUND KOMMUNE";"5060";"Nærøysund"
"921806027";"ØRLAND KOMMUNE";"5057";"Ørland"
"921875533";"ÅFJORD KOMMUNE";"5058";"Åfjord"
"921891687";"FJORD KOMMUNE";"1578";"Fjord"
"922092648";"NORDRE FOLLO KOMMUNE";"3020";"Nordre Follo"
"922121893";"SOGNDAL KOMMUNE";"4640";"Sogndal"
"922421498";"LYNGDAL KOMMUNE";"4225";"Lyngdal"
"922530890";"ØYGARDEN KOMMUNE";"4626";"Øygarden"
"933038173";"ETNEDAL KOMMUNE";"3450";"Etnedal"
"933277461";"DRANGEDAL KOMMUNE";"3815";"Drangedal"
"933649768";"ULLENSAKER KOMMUNE";"3033";"Ullensaker"
"934266811";"GAMVIK KOMMUNE";"5439";"Gamvik"
