Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2
RB.A12,MB.A8R1,276.734,EXT,R,A,EVEN,1,78,LBARE.8R1,LBARE_08R1
RB.A12,MB.B8R1,292.394,EXT,R,B,ODD,77,77,LBBRF.8R1,LBBRF_08R1
RB.A12,MB.A9R1,315.799,EXT,R,A,EVEN,2,79,LBARE.9R1,LBARE_09R1
RB.A12,MB.B9R1,331.459,EXT,R,B,ODD,76,76,LBBRG.9R1,LBBRG_09R1
RB.A12,MB.A10R1,356.264,EXT,R,A,EVEN,3,80,LBARE.10R1,LBARE_10R1
RB.A12,MB.B10R1,371.924,EXT,R,B,ODD,75,75,LBBRF.10R1,LBBRF_10R1
RB.A12,MB.A11R1,395.329,EXT,R,A,EVEN,4,81,LBARA.11R1,LBARA_11R1
RB.A12,MB.B11R1,410.989,EXT,R,B,ODD,74,74,LBBRA.11R1,LBBRA_11R1
RB.A12,MB.A12R1,448.1107,EXT,R,A,EVEN,5,82,LBARA.12R1,LBARA_12R1
RB.A12,MB.B12R1,463.7707,EXT,R,B,ODD,73,73,LBBRA.12R1,LBBRA_12R1
RB.A12,MB.C12R1,479.4307,EXT,R,A,EVEN,6,83,LBARB.12R1,LBARB_12R1
RB.A12,MB.A13R1,501.5607,EXT,R,B,ODD,72,72,LBBRA.13R1,LBBRA_13R1
RB.A12,MB.B13R1,517.2207,EXT,R,A,EVEN,7,84,LBARA.13R1,LBARA_13R1
RB.A12,MB.C13R1,532.8807,EXT,R,B,ODD,71,71,LBBRD.13R1,LBBRD_13R1
RB.A12,MB.A14R1,555.0107,EXT,R,A,EVEN,8,85,LBARA.14R1,LBARA_14R1
RB.A12,MB.B14R1,570.6707,EXT,R,B,ODD,70,70,LBBRA.14R1,LBBRA_14R1
RB.A12,MB.C14R1,586.3307,EXT,R,A,EVEN,9,86,LBARB.14R1,LBARB_14R1
RB.A12,MB.A15R1,608.4607,EXT,R,B,ODD,69,69,LBBRA.15R1,LBBRA_15R1
RB.A12,MB.B15R1,624.1207,EXT,R,A,EVEN,10,87,LBARA.15R1,LBARA_15R1
RB.A12,MB.C15R1,639.7807,EXT,R,B,ODD,68,68,LBBRD.15R1,LBBRD_15R1
RB.A12,MB.A16R1,661.9107,EXT,R,A,EVEN,11,88,LBARA.16R1,LBARA_16R1
RB.A12,MB.B16R1,677.5707,EXT,R,B,ODD,67,67,LBBRA.16R1,LBBRA_16R1
RB.A12,MB.C16R1,693.2307,EXT,R,A,EVEN,12,89,LBARB.16R1,LBARB_16R1
RB.A12,MB.A17R1,715.3607,EXT,R,B,ODD,66,66,LBBRA.17R1,LBBRA_17R1
RB.A12,MB.B17R1,731.0207,EXT,R,A,EVEN,13,90,LBARA.17R1,LBARA_17R1
RB.A12,MB.C17R1,746.6807,EXT,R,B,ODD,65,65,LBBRD.17R1,LBBRD_17R1
RB.A12,MB.A18R1,768.8107,EXT,R,A,EVEN,14,91,LBARA.18R1,LBARA_18R1
RB.A12,MB.B18R1,784.4707,EXT,R,B,ODD,64,64,LBBRA.18R1,LBBRA_18R1
RB.A12,MB.C18R1,800.1307,EXT,R,A,EVEN,15,92,LBARB.18R1,LBARB_18R1
RB.A12,MB.A19R1,822.2607,EXT,R,B,ODD,63,63,LBBRA.19R1,LBBRA_19R1
RB.A12,MB.B19R1,837.9207,EXT,R,A,EVEN,16,93,LBARA.19R1,LBARA_19R1
RB.A12,MB.C19R1,853.5807,EXT,R,B,ODD,62,62,LBBRD.19R1,LBBRD_19R1
RB.A12,MB.A20R1,875.7107,EXT,R,A,EVEN,17,94,LBARA.20R1,LBARA_20R1
RB.A12,MB.B20R1,891.3707,EXT,R,B,ODD,61,61,LBBRA.20R1,LBBRA_20R1
RB.A12,MB.C20R1,907.0307,EXT,R,A,EVEN,18,95,LBARB.20R1,LBARB_20R1
RB.A12,MB.A21R1,929.1607,EXT,R,B,ODD,60,60,LBBRA.21R1,LBBRA_21R1
RB.A12,MB.B21R1,944.8207,EXT,R,A,EVEN,19,96,LBARA.21R1,LBARA_21R1
RB.A12,MB.C21R1,960.4807,EXT,R,B,ODD,59,59,LBBRD.21R1,LBBRD_21R1
RB.A12,MB.A22R1,982.6107,EXT,R,A,EVEN,20,97,LBARA.22R1,LBARA_22R1
RB.A12,MB.B22R1,998.2707,EXT,R,B,ODD,58,58,LBBRA.22R1,LBBRA_22R1
RB.A12,MB.C22R1,1013.9307,EXT,R,A,EVEN,21,98,LBARB.22R1,LBARB_22R1
RB.A12,MB.A23R1,1036.0607,EXT,R,B,ODD,57,57,LBBRA.23R1,LBBRA_23R1
RB.A12,MB.B23R1,1051.7207,EXT,R,A,EVEN,22,99,LBARA.23R1,LBARA_23R1
RB.A12,MB.C23R1,1067.3807,EXT,R,B,ODD,56,56,LBBRD.23R1,LBBRD_23R1
RB.A12,MB.A24R1,1089.5107,EXT,R,A,EVEN,23,100,LBARA.24R1,LBARA_24R1
RB.A12,MB.B24R1,1105.1707,EXT,R,B,ODD,55,55,LBBRA.24R1,LBBRA_24R1
RB.A12,MB.C24R1,1120.8307,EXT,R,A,EVEN,24,101,LBARB.24R1,LBARB_24R1
RB.A12,MB.A25R1,1142.9607,EXT,R,B,ODD,54,54,LBBRA.25R1,LBBRA_25R1
RB.A12,MB.B25R1,1158.6207,EXT,R,A,EVEN,25,102,LBARA.25R1,LBARA_25R1
RB.A12,MB.C25R1,1174.2807,EXT,R,B,ODD,53,53,LBBRD.25R1,LBBRD_25R1
RB.A12,MB.A26R1,1196.4107,EXT,R,A,EVEN,26,103,LBARA.26R1,LBARA_26R1
RB.A12,MB.B26R1,1212.0707,EXT,R,B,ODD,52,52,LBBRA.26R1,LBBRA_26R1
RB.A12,MB.C26R1,1227.7307,EXT,R,A,EVEN,27,104,LBARB.26R1,LBARB_26R1
RB.A12,MB.A27R1,1249.8607,EXT,R,B,ODD,51,51,LBBRA.27R1,LBBRA_27R1
RB.A12,MB.B27R1,1265.5207,EXT,R,A,EVEN,28,105,LBARA.27R1,LBARA_27R1
RB.A12,MB.C27R1,1281.1807,EXT,R,B,ODD,50,50,LBBRD.27R1,LBBRD_27R1
RB.A12,MB.A28R1,1303.3107,EXT,R,A,EVEN,29,106,LBARA.28R1,LBARA_28R1
RB.A12,MB.B28R1,1318.9707,EXT,R,B,ODD,49,49,LBBRA.28R1,LBBRA_28R1
RB.A12,MB.C28R1,1334.6307,EXT,R,A,EVEN,30,107,LBARB.28R1,LBARB_28R1
RB.A12,MB.A29R1,1356.7607,EXT,R,B,ODD,48,48,LBBRA.29R1,LBBRA_29R1
RB.A12,MB.B29R1,1372.4207,EXT,R,A,EVEN,31,108,LBARA.29R1,LBARA_29R1
RB.A12,MB.C29R1,1388.0807,EXT,R,B,ODD,47,47,LBBRD.29R1,LBBRD_29R1
RB.A12,MB.A30R1,1410.2107,EXT,R,A,EVEN,32,109,LBARA.30R1,LBARA_30R1
RB.A12,MB.B30R1,1425.8707,EXT,R,B,ODD,46,46,LBBRA.30R1,LBBRA_30R1
RB.A12,MB.C30R1,1441.5307,EXT,R,A,EVEN,33,110,LBARB.30R1,LBARB_30R1
RB.A12,MB.A31R1,1463.6607,EXT,R,B,ODD,45,45,LBBRA.31R1,LBBRA_31R1
RB.A12,MB.B31R1,1479.3207,EXT,R,A,EVEN,34,111,LBARA.31R1,LBARA_31R1
RB.A12,MB.C31R1,1494.9807,EXT,R,B,ODD,44,44,LBBRD.31R1,LBBRD_31R1
RB.A12,MB.A32R1,1517.1107,EXT,R,A,EVEN,35,112,LBARA.32R1,LBARA_32R1
RB.A12,MB.B32R1,1532.7707,EXT,R,B,ODD,43,43,LBBRA.32R1,LBBRA_32R1
RB.A12,MB.C32R1,1548.4307,EXT,R,A,EVEN,36,113,LBARB.32R1,LBARB_32R1
RB.A12,MB.A33R1,1570.5607,EXT,R,B,ODD,42,42,LBBRA.33R1,LBBRA_33R1
RB.A12,MB.B33R1,1586.2207,EXT,R,A,EVEN,37,114,LBARA.33R1,LBARA_33R1
RB.A12,MB.C33R1,1601.8807,EXT,R,B,ODD,41,41,LBBRD.33R1,LBBRD_33R1
RB.A12,MB.A34R1,1624.0107,EXT,R,A,EVEN,38,115,LBARA.34R1,LBARA_34R1
RB.A12,MB.B34R1,1639.6707,EXT,R,B,ODD,40,40,LBBRA.34R1,LBBRA_34R1
RB.A12,MB.C34R1,1655.3307,EXT,R,A,EVEN,39,116,LBARB.34R1,LBARB_34R1
RB.A12,MB.C34L2,1677.4607,EXT,R,B,ODD,39,39,LBBRA.34L2,LBBRA_34L2
RB.A12,MB.B34L2,1693.1207,EXT,R,A,EVEN,40,117,LBARA.34L2,LBARA_34L2
RB.A12,MB.A34L2,1708.7807,EXT,R,B,ODD,38,38,LBBRD.34L2,LBBRD_34L2
RB.A12,MB.C33L2,1730.9107,EXT,R,A,EVEN,41,118,LBARA.33L2,LBARA_33L2
RB.A12,MB.B33L2,1746.5707,EXT,R,B,ODD,37,37,LBBRA.33L2,LBBRA_33L2
RB.A12,MB.A33L2,1762.2307,EXT,R,A,EVEN,42,119,LBARB.33L2,LBARB_33L2
RB.A12,MB.C32L2,1784.3607,EXT,R,B,ODD,36,36,LBBRA.32L2,LBBRA_32L2
RB.A12,MB.B32L2,1800.0207,EXT,R,A,EVEN,43,120,LBARA.32L2,LBARA_32L2
RB.A12,MB.A32L2,1815.6807,EXT,R,B,ODD,35,35,LBBRD.32L2,LBBRD_32L2
RB.A12,MB.C31L2,1837.8107,EXT,R,A,EVEN,44,121,LBARA.31L2,LBARA_31L2
RB.A12,MB.B31L2,1853.4707,EXT,R,B,ODD,34,34,LBBRA.31L2,LBBRA_31L2
RB.A12,MB.A31L2,1869.1307,EXT,R,A,EVEN,45,122,LBARB.31L2,LBARB_31L2
RB.A12,MB.C30L2,1891.2607,EXT,R,B,ODD,33,33,LBBRA.30L2,LBBRA_30L2
RB.A12,MB.B30L2,1906.9207,EXT,R,A,EVEN,46,123,LBARA.30L2,LBARA_30L2
RB.A12,MB.A30L2,1922.5807,EXT,R,B,ODD,32,32,LBBRD.30L2,LBBRD_30L2
RB.A12,MB.C29L2,1944.7107,EXT,R,A,EVEN,47,124,LBARA.29L2,LBARA_29L2
RB.A12,MB.B29L2,1960.3707,EXT,R,B,ODD,31,31,LBBRA.29L2,LBBRA_29L2
RB.A12,MB.A29L2,1976.0307,EXT,R,A,EVEN,48,125,LBARB.29L2,LBARB_29L2
RB.A12,MB.C28L2,1998.1607,EXT,R,B,ODD,30,30,LBBRA.28L2,LBBRA_28L2
RB.A12,MB.B28L2,2013.8207,EXT,R,A,EVEN,49,126,LBARA.28L2,LBARA_28L2
RB.A12,MB.A28L2,2029.4807,EXT,R,B,ODD,29,29,LBBRD.28L2,LBBRD_28L2
RB.A12,MB.C27L2,2051.6107,EXT,R,A,EVEN,50,127,LBARA.27L2,LBARA_27L2
RB.A12,MB.B27L2,2067.2707,EXT,R,B,ODD,28,28,LBBRA.27L2,LBBRA_27L2
RB.A12,MB.A27L2,2082.9307,EXT,R,A,EVEN,51,128,LBARB.27L2,LBARB_27L2
RB.A12,MB.C26L2,2105.0607,EXT,R,B,ODD,27,27,LBBRA.26L2,LBBRA_26L2
RB.A12,MB.B26L2,2120.7207,EXT,R,A,EVEN,52,129,LBARA.26L2,LBARA_26L2
RB.A12,MB.A26L2,2136.3807,EXT,R,B,ODD,26,26,LBBRD.26L2,LBBRD_26L2
RB.A12,MB.C25L2,2158.5107,EXT,R,A,EVEN,53,130,LBARA.25L2,LBARA_25L2
RB.A12,MB.B25L2,2174.1707,EXT,R,B,ODD,25,25,LBBRA.25L2,LBBRA_25L2
RB.A12,MB.A25L2,2189.8307,EXT,R,A,EVEN,54,131,LBARB.25L2,LBARB_25L2
RB.A12,MB.C24L2,2211.9607,EXT,R,B,ODD,24,24,LBBRA.24L2,LBBRA_24L2
RB.A12,MB.B24L2,2227.6207,EXT,R,A,EVEN,55,132,LBARA.24L2,LBARA_24L2
RB.A12,MB.A24L2,2243.2807,EXT,R,B,ODD,23,23,LBBRD.24L2,LBBRD_24L2
RB.A12,MB.C23L2,2265.4107,EXT,R,A,EVEN,56,133,LBARA.23L2,LBARA_23L2
RB.A12,MB.B23L2,2281.0707,EXT,R,B,ODD,22,22,LBBRA.23L2,LBBRA_23L2
RB.A12,MB.A23L2,2296.7307,EXT,R,A,EVEN,57,134,LBARB.23L2,LBARB_23L2
RB.A12,MB.C22L2,2318.8607,EXT,R,B,ODD,21,21,LBBRA.22L2,LBBRA_22L2
RB.A12,MB.B22L2,2334.5207,EXT,R,A,EVEN,58,135,LBARA.22L2,LBARA_22L2
RB.A12,MB.A22L2,2350.1807,EXT,R,B,ODD,20,20,LBBRD.22L2,LBBRD_22L2
RB.A12,MB.C21L2,2372.3107,EXT,R,A,EVEN,59,136,LBARA.21L2,LBARA_21L2
RB.A12,MB.B21L2,2387.9707,EXT,R,B,ODD,19,19,LBBRA.21L2,LBBRA_21L2
RB.A12,MB.A21L2,2403.6307,EXT,R,A,EVEN,60,137,LBARB.21L2,LBARB_21L2
RB.A12,MB.C20L2,2425.7607,EXT,R,B,ODD,18,18,LBBRA.20L2,LBBRA_20L2
RB.A12,MB.B20L2,2441.4207,EXT,R,A,EVEN,61,138,LBARA.20L2,LBARA_20L2
RB.A12,MB.A20L2,2457.0807,EXT,R,B,ODD,17,17,LBBRD.20L2,LBBRD_20L2
RB.A12,MB.C19L2,2479.2107,EXT,R,A,EVEN,62,139,LBARA.19L2,LBARA_19L2
RB.A12,MB.B19L2,2494.8707,EXT,R,B,ODD,16,16,LBBRA.19L2,LBBRA_19L2
RB.A12,MB.A19L2,2510.5307,EXT,R,A,EVEN,63,140,LBARB.19L2,LBARB_19L2
RB.A12,MB.C18L2,2532.6607,EXT,R,B,ODD,15,15,LBBRA.18L2,LBBRA_18L2
RB.A12,MB.B18L2,2548.3207,EXT,R,A,EVEN,64,141,LBARA.18L2,LBARA_18L2
RB.A12,MB.A18L2,2563.9807,EXT,R,B,ODD,14,14,LBBRD.18L2,LBBRD_18L2
RB.A12,MB.C17L2,2586.1107,EXT,R,A,EVEN,65,142,LBARA.17L2,LBARA_17L2
RB.A12,MB.B17L2,2601.7707,EXT,R,B,ODD,13,13,LBBRA.17L2,LBBRA_17L2
RB.A12,MB.A17L2,2617.4307,EXT,R,A,EVEN,66,143,LBARB.17L2,LBARB_17L2
RB.A12,MB.C16L2,2639.5607,EXT,R,B,ODD,12,12,LBBRA.16L2,LBBRA_16L2
RB.A12,MB.B16L2,2655.2207,EXT,R,A,EVEN,67,144,LBARA.16L2,LBARA_16L2
RB.A12,MB.A16L2,2670.8807,EXT,R,B,ODD,11,11,LBBRD.16L2,LBBRD_16L2
RB.A12,MB.C15L2,2693.0107,EXT,R,A,EVEN,68,145,LBARA.15L2,LBARA_15L2
RB.A12,MB.B15L2,2708.6707,EXT,R,B,ODD,10,10,LBBRA.15L2,LBBRA_15L2
RB.A12,MB.A15L2,2724.3307,EXT,R,A,EVEN,69,146,LBARB.15L2,LBARB_15L2
RB.A12,MB.C14L2,2746.4607,EXT,R,B,ODD,9,9,LBBRA.14L2,LBBRA_14L2
RB.A12,MB.B14L2,2762.1207,EXT,R,A,EVEN,70,147,LBARA.14L2,LBARA_14L2
RB.A12,MB.A14L2,2777.7807,EXT,R,B,ODD,8,8,LBBRD.14L2,LBBRD_14L2
RB.A12,MB.C13L2,2799.9107,EXT,R,A,EVEN,71,148,LBARA.13L2,LBARA_13L2
RB.A12,MB.B13L2,2815.5707,EXT,R,B,ODD,7,7,LBBRA.13L2,LBBRA_13L2
RB.A12,MB.A13L2,2831.2307,EXT,R,A,EVEN,72,149,LBARB.13L2,LBARB_13L2
RB.A12,MB.C12L2,2853.3607,EXT,R,B,ODD,6,6,LBBRA.12L2,LBBRA_12L2
RB.A12,MB.B12L2,2869.0207,EXT,R,A,EVEN,73,150,LBARA.12L2,LBARA_12L2
RB.A12,MB.A12L2,2884.6807,EXT,R,B,ODD,5,5,LBBRD.12L2,LBBRD_12L2
RB.A12,MB.B11L2,2920.8604,EXT,R,A,EVEN,74,151,LBARA.11L2,LBARA_11L2
RB.A12,MB.A11L2,2936.5204,EXT,R,B,ODD,4,4,LBBRP.11L2,LBBRP_11L2
RB.A12,MB.B10L2,2959.9254,EXT,R,A,EVEN,75,152,LBARE.10L2,LBARE_10L2
RB.A12,MB.A10L2,2975.5854,EXT,R,B,ODD,3,3,LBBRG.10L2,LBBRG_10L2
RB.A12,MB.B9L2,3000.3904,EXT,R,A,EVEN,76,153,LBARE.9L2,LBARE_09L2
RB.A12,MB.A9L2,3016.0504,EXT,R,B,ODD,2,2,LBBRF.9L2,LBBRF_09L2
RB.A12,MB.B8L2,3039.4554,EXT,R,A,EVEN,77,154,LBARE.8L2,LBARE_08L2
RB.A12,MB.A8L2,3055.1154,EXT,R,B,ODD,1,1,LBBRQ.8L2,LBBRQ_08L2
RB.A23,MB.A8R2,3609.6054,INT,L,A,EVEN,77,154,LBALE.8R2,LBALE_08R2
RB.A23,MB.B8R2,3625.2654,INT,L,B,ODD,1,1,LBBLF.8R2,LBBLF_08R2
RB.A23,MB.A9R2,3648.6704,INT,L,A,EVEN,76,153,LBALE.9R2,LBALE_09R2
RB.A23,MB.B9R2,3664.3304,INT,L,B,ODD,2,2,LBBLG.9R2,LBBLG_09R2
RB.A23,MB.A10R2,3689.1354,INT,L,A,EVEN,75,152,LBALE.10R2,LBALE_10R2
RB.A23,MB.B10R2,3704.7954,INT,L,B,ODD,3,3,LBBLF.10R2,LBBLF_10R2
RB.A23,MB.A11R2,3728.2004,INT,L,A,EVEN,74,151,LBALA.11R2,LBALA_11R2
RB.A23,MB.B11R2,3743.8604,INT,L,B,ODD,4,4,LBBLA.11R2,LBBLA_11R2
RB.A23,MB.A12R2,3780.0401,INT,L,A,EVEN,73,150,LBALA.12R2,LBALA_12R2
RB.A23,MB.B12R2,3795.7001,INT,L,B,ODD,5,5,LBBLA.12R2,LBBLA_12R2
RB.A23,MB.C12R2,3811.3601,INT,L,A,EVEN,72,149,LBALB.12R2,LBALB_12R2
RB.A23,MB.A13R2,3833.4901,INT,L,B,ODD,6,6,LBBLA.13R2,LBBLA_13R2
RB.A23,MB.B13R2,3849.1501,INT,L,A,EVEN,71,148,LBALA.13R2,LBALA_13R2
RB.A23,MB.C13R2,3864.8101,INT,L,B,ODD,7,7,LBBLD.13R2,LBBLD_13R2
RB.A23,MB.A14R2,3886.9401,INT,L,A,EVEN,70,147,LBALA.14R2,LBALA_14R2
RB.A23,MB.B14R2,3902.6001,INT,L,B,ODD,8,8,LBBLA.14R2,LBBLA_14R2
RB.A23,MB.C14R2,3918.2601,INT,L,A,EVEN,69,146,LBALB.14R2,LBALB_14R2
RB.A23,MB.A15R2,3940.3901,INT,L,B,ODD,9,9,LBBLA.15R2,LBBLA_15R2
RB.A23,MB.B15R2,3956.0501,INT,L,A,EVEN,68,145,LBALA.15R2,LBALA_15R2
RB.A23,MB.C15R2,3971.7101,INT,L,B,ODD,10,10,LBBLD.15R2,LBBLD_15R2
RB.A23,MB.A16R2,3993.8401,INT,L,A,EVEN,67,144,LBALA.16R2,LBALA_16R2
RB.A23,MB.B16R2,4009.5001,INT,L,B,ODD,11,11,LBBLA.16R2,LBBLA_16R2
RB.A23,MB.C16R2,4025.1601,INT,L,A,EVEN,66,143,LBALB.16R2,LBALB_16R2
RB.A23,MB.A17R2,4047.2901,INT,L,B,ODD,12,12,LBBLA.17R2,LBBLA_17R2
RB.A23,MB.B17R2,4062.9501,INT,L,A,EVEN,65,142,LBALA.17R2,LBALA_17R2
RB.A23,MB.C17R2,4078.6101,INT,L,B,ODD,13,13,LBBLD.17R2,LBBLD_17R2
RB.A23,MB.A18R2,4100.7401,INT,L,A,EVEN,64,141,LBALA.18R2,LBALA_18R2
RB.A23,MB.B18R2,4116.4001,INT,L,B,ODD,14,14,LBBLA.18R2,LBBLA_18R2
RB.A23,MB.C18R2,4132.0601,INT,L,A,EVEN,63,140,LBALB.18R2,LBALB_18R2
RB.A23,MB.A19R2,4154.1901,INT,L,B,ODD,15,15,LBBLA.19R2,LBBLA_19R2
RB.A23,MB.B19R2,4169.8501,INT,L,A,EVEN,62,139,LBALA.19R2,LBALA_19R2
RB.A23,MB.C19R2,4185.5101,INT,L,B,ODD,16,16,LBBLD.19R2,LBBLD_19R2
RB.A23,MB.A20R2,4207.6401,INT,L,A,EVEN,61,138,LBALA.20R2,LBALA_20R2
RB.A23,MB.B20R2,4223.3001,INT,L,B,ODD,17,17,LBBLA.20R2,LBBLA_20R2
RB.A23,MB.C20R2,4238.9601,INT,L,A,EVEN,60,137,LBALB.20R2,LBALB_20R2
RB.A23,MB.A21R2,4261.0901,INT,L,B,ODD,18,18,LBBLA.21R2,LBBLA_21R2
RB.A23,MB.B21R2,4276.7501,INT,L,A,EVEN,59,136,LBALA.21R2,LBALA_21R2
RB.A23,MB.C21R2,4292.4101,INT,L,B,ODD,19,19,LBBLD.21R2,LBBLD_21R2
RB.A23,MB.A22R2,4314.5401,INT,L,A,EVEN,58,135,LBALA.22R2,LBALA_22R2
RB.A23,MB.B22R2,4330.2001,INT,L,B,ODD,20,20,LBBLA.22R2,LBBLA_22R2
RB.A23,MB.C22R2,4345.8601,INT,L,A,EVEN,57,134,LBALB.22R2,LBALB_22R2
RB.A23,MB.A23R2,4367.9901,INT,L,B,ODD,21,21,LBBLA.23R2,LBBLA_23R2
RB.A23,MB.B23R2,4383.6501,INT,L,A,EVEN,56,133,LBALA.23R2,LBALA_23R2
RB.A23,MB.C23R2,4399.3101,INT,L,B,ODD,22,22,LBBLD.23R2,LBBLD_23R2
RB.A23,MB.A24R2,4421.4401,INT,L,A,EVEN,55,132,LBALA.24R2,LBALA_24R2
RB.A23,MB.B24R2,4437.1001,INT,L,B,ODD,23,23,LBBLA.24R2,LBBLA_24R2
RB.A23,MB.C24R2,4452.7601,INT,L,A,EVEN,54,131,LBALB.24R2,LBALB_24R2
RB.A23,MB.A25R2,4474.8901,INT,L,B,ODD,24,24,LBBLA.25R2,LBBLA_25R2
RB.A23,MB.B25R2,4490.5501,INT,L,A,EVEN,53,130,LBALA.25R2,LBALA_25R2
RB.A23,MB.C25R2,4506.2101,INT,L,B,ODD,25,25,LBBLD.25R2,LBBLD_25R2
RB.A23,MB.A26R2,4528.3401,INT,L,A,EVEN,52,129,LBALA.26R2,LBALA_26R2
RB.A23,MB.B26R2,4544.0001,INT,L,B,ODD,26,26,LBBLA.26R2,LBBLA_26R2
RB.A23,MB.C26R2,4559.6601,INT,L,A,EVEN,51,128,LBALB.26R2,LBALB_26R2
RB.A23,MB.A27R2,4581.7901,INT,L,B,ODD,27,27,LBBLA.27R2,LBBLA_27R2
RB.A23,MB.B27R2,4597.4501,INT,L,A,EVEN,50,127,LBALA.27R2,LBALA_27R2
RB.A23,MB.C27R2,4613.1101,INT,L,B,ODD,28,28,LBBLD.27R2,LBBLD_27R2
RB.A23,MB.A28R2,4635.2401,INT,L,A,EVEN,49,126,LBALA.28R2,LBALA_28R2
RB.A23,MB.B28R2,4650.9001,INT,L,B,ODD,29,29,LBBLA.28R2,LBBLA_28R2
RB.A23,MB.C28R2,4666.5601,INT,L,A,EVEN,48,125,LBALB.28R2,LBALB_28R2
RB.A23,MB.A29R2,4688.6901,INT,L,B,ODD,30,30,LBBLA.29R2,LBBLA_29R2
RB.A23,MB.B29R2,4704.3501,INT,L,A,EVEN,47,124,LBALA.29R2,LBALA_29R2
RB.A23,MB.C29R2,4720.0101,INT,L,B,ODD,31,31,LBBLD.29R2,LBBLD_29R2
RB.A23,MB.A30R2,4742.1401,INT,L,A,EVEN,46,123,LBALA.30R2,LBALA_30R2
