Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2
RB.A23,MB.B30R2,4757.8001,INT,L,B,ODD,32,32,LBBLA.30R2,LBBLA_30R2
RB.A23,MB.C30R2,4773.4601,INT,L,A,EVEN,45,122,LBALB.30R2,LBALB_30R2
RB.A23,MB.A31R2,4795.5901,INT,L,B,ODD,33,33,LBBLA.31R2,LBBLA_31R2
RB.A23,MB.B31R2,4811.2501,INT,L,A,EVEN,44,121,LBALA.31R2,LBALA_31R2
RB.A23,MB.C31R2,4826.9101,INT,L,B,ODD,34,34,LBBLD.31R2,LBBLD_31R2
RB.A23,MB.A32R2,4849.0401,INT,L,A,EVEN,43,120,LBALA.32R2,LBALA_32R2
RB.A23,MB.B32R2,4864.7001,INT,L,B,ODD,35,35,LBBLA.32R2,LBBLA_32R2
RB.A23,MB.C32R2,4880.3601,INT,L,A,EVEN,42,119,LBALB.32R2,LBALB_32R2
RB.A23,MB.A33R2,4902.4901,INT,L,B,ODD,36,36,LBBLA.33R2,LBBLA_33R2
RB.A23,MB.B33R2,4918.1501,INT,L,A,EVEN,41,118,LBALA.33R2,LBALA_33R2
RB.A23,MB.C33R2,4933.8101,INT,L,B,ODD,37,37,LBBLD.33R2,LBBLD_33R2
RB.A23,MB.A34R2,4955.9401,INT,L,A,EVEN,40,117,LBALA.34R2,LBALA_34R2
RB.A23,MB.B34R2,4971.6001,INT,L,B,ODD,38,38,LBBLA.34R2,LBBLA_34R2
RB.A23,MB.C34R2,4987.2601,INT,L,A,EVEN,39,116,LBALB.34R2,LBALB_34R2
RB.A23,MB.C34L3,5009.3901,INT,L,B,ODD,39,39,LBBLA.34L3,LBBLA_34L3
RB.A23,MB.B34L3,5025.0501,INT,L,A,EVEN,38,115,LBALA.34L3,LBALA_34L3
RB.A23,MB.A34L3,5040.7101,INT,L,B,ODD,40,40,LBBLD.34L3,LBBLD_34L3
RB.A23,MB.C33L3,5062.8401,INT,L,A,EVEN,37,114,LBALA.33L3,LBALA_33L3
RB.A23,MB.B33L3,5078.5001,INT,L,B,ODD,41,41,LBBLA.33L3,LBBLA_33L3
RB.A23,MB.A33L3,5094.1601,INT,L,A,EVEN,36,113,LBALB.33L3,LBALB_33L3
RB.A23,MB.C32L3,5116.2901,INT,L,B,ODD,42,42,LBBLA.32L3,LBBLA_32L3
RB.A23,MB.B32L3,5131.9501,INT,L,A,EVEN,35,112,LBALA.32L3,LBALA_32L3
RB.A23,MB.A32L3,5147.6101,INT,L,B,ODD,43,43,LBBLD.32L3,LBBLD_32L3
RB.A23,MB.C31L3,5169.7401,INT,L,A,EVEN,34,111,LBALA.31L3,LBALA_31L3
RB.A23,MB.B31L3,5185.4001,INT,L,B,ODD,44,44,LBBLA.31L3,LBBLA_31L3
RB.A23,MB.A31L3,5201.0601,INT,L,A,EVEN,33,110,LBALB.31L3,LBALB_31L3
RB.A23,MB.C30L3,5223.1901,INT,L,B,ODD,45,45,LBBLA.30L3,LBBLA_30L3
RB.A23,MB.B30L3,5238.8501,INT,L,A,EVEN,32,109,LBALA.30L3,LBALA_30L3
RB.A23,MB.A30L3,5254.5101,INT,L,B,ODD,46,46,LBBLD.30L3,LBBLD_30L3
RB.A23,MB.C29L3,5276.6401,INT,L,A,EVEN,31,108,LBALA.29L3,LBALA_29L3
RB.A23,MB.B29L3,5292.3001,INT,L,B,ODD,47,47,LBBLA.29L3,LBBLA_29L3
RB.A23,MB.A29L3,5307.9601,INT,L,A,EVEN,30,107,LBALB.29L3,LBALB_29L3
RB.A23,MB.C28L3,5330.0901,INT,L,B,ODD,48,48,LBBLA.28L3,LBBLA_28L3
RB.A23,MB.B28L3,5345.7501,INT,L,A,EVEN,29,106,LBALA.28L3,LBALA_28L3
RB.A23,MB.A28L3,5361.4101,INT,L,B,ODD,49,49,LBBLD.28L3,LBBLD_28L3
