circuit,MagnetName,NumberOfMagnets,L_magnet,C_ground_magnet,R_parallel,R_circuit,R_crowbar,t_Start,t_PC,t_EE,R_EE,C_snubber,R_snubber,R_Branch,L_Branch,Length_Busbar,L_Busbar_per_m,L_Busbar,I_start,I_end_1,I_end_2,dI_dt,dI_dt2,t_start,t_plateau,t_PC_off,t_PC_switch_off,L_parasitic_series,R_parasitic_series,R_parasitic_parallel
RCS.A12B1,MCS,154,0.0007197,7.50E-09,0.067,0.00672,0.05,0,0.2,410.008,0.705,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A12B2,MCS,154,0.0007197,7.50E-09,0.067,0.00617,0.05,0,0.2,410.008,0.671,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A23B1,MCS,154,0.0007197,7.50E-09,0.067,0.00684,0.05,0,0.2,410.008,0.71,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A23B2,MCS,154,0.0007197,7.50E-09,0.067,0.00667,0.05,0,0.2,410.008,0.688,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A34B1,MCS,154,0.0007197,7.50E-09,0.067,0.00696,0.05,0,0.2,410.008,0.684,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A34B2,MCS,154,0.0007197,7.50E-09,0.067,0.00718,0.05,0,0.2,410.008,0.695,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A45B1,MCS,154,0.0007197,7.50E-09,0.067,0.00702,0.05,0,0.2,410.008,0.67,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A45B2,MCS,154,0.0007197,7.50E-09,0.067,0.00702,0.05,0,0.2,410.008,0.689,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A56B1,MCS,154,0.0007197,7.50E-09,0.067,0.00556,0.05,0,0.2,410.008,0.683,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCS.A56B2,MCS,154,0.0007197,7.50E-09,0.067,0.00546,0.05,0,0.2,410.008,0.672,0.0008,1,0.00044,1.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+02,5.50E+02,1.50E+00,1.00E+00,1.00E+01,2.00E+01,4.10E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
