circuit_name,circuit_family,circuit_types
RCS.A12B1,600A,['RCS']
RCS.A12B2,600A,['RCS']
RCS.A23B1,600A,['RCS']
RCS.A23B2,600A,['RCS']
RCS.A34B1,600A,['RCS']
RCS.A34B2,600A,['RCS']
RCS.A45B1,600A,['RCS']
RCS.A45B2,600A,['RCS']
RCS.A56B1,600A,['RCS']
RCS.A56B2,600A,['RCS']
RCS.A67B1,600A,['RCS']
RCS.A67B2,600A,['RCS']
RCS.A78B1,600A,['RCS']
RCS.A78B2,600A,['RCS']
RCS.A81B1,600A,['RCS']
RCS.A81B2,600A,['RCS']
RQ6.L3B1,600A,
RQ6.L3B2,600A,
RQ6.L7B1,600A,
RQ6.L7B2,600A,
RQ6.R3B1,600A,
RQ6.R3B2,600A,
RQ6.R7B1,600A,
RQ6.R7B2,600A,
RQS.A12B2,600A,['RQS']
RQS.A23B1,600A,['RQS']
RQS.A34B2,600A,['RQS']
RQS.A45B1,600A,['RQS']
RQS.A56B2,600A,['RQS']
RQS.A67B1,600A,['RQS']
RQS.A78B2,600A,['RQS']
RQS.A81B1,600A,['RQS']
RQS.L1B2,600A,['RQS']
RQS.L2B1,600A,['RQS']
RQS.L3B2,600A,['RQS']
RQS.L4B1,600A,['RQS']
RQS.L5B2,600A,['RQS']
RQS.L6B1,600A,['RQS']
RQS.L7B2,600A,['RQS']
RQS.L8B1,600A,['RQS']
RQS.R1B1,600A,['RQS']
RQS.R2B2,600A,['RQS']
RQS.R3B1,600A,['RQS']
RQS.R4B2,600A,['RQS']
RQS.R5B1,600A,['RQS']
RQS.R6B2,600A,['RQS']
RQS.R7B1,600A,['RQS']
RQS.R8B2,600A,['RQS']
RQT12.L1B1,600A,['RQT_12_13']
RQT12.L1B2,600A,['RQT_12_13']
RQT12.L2B1,600A,['RQT_12_13']
RQT12.L2B2,600A,['RQT_12_13']
RQT12.L3B1,600A,['RQT_12_13']
RQT12.L3B2,600A,['RQT_12_13']
RQT12.L4B1,600A,['RQT_12_13']
RQT12.L4B2,600A,['RQT_12_13']
RQT12.L5B1,600A,['RQT_12_13']
RQT12.L5B2,600A,['RQT_12_13']
RQT12.L6B1,600A,['RQT_12_13']
RQT12.L6B2,600A,['RQT_12_13']
RQT12.L7B1,600A,['RQT_12_13']
RQT12.L7B2,600A,['RQT_12_13']
RQT12.L8B1,600A,['RQT_12_13']
RQT12.L8B2,600A,['RQT_12_13']
