Circuit,Magnet,Position,Beam,Aperture,#Electric_circuit,Cryostat,Cryostat2
RQD.A12,MQ.11R1,435.5557,B2,INT,24,LQTCE.11R1,LQTCE_11R1
RQD.A12,MQ.12R1,490.4957,B1,EXT,23,LQATH.12R1,LQATH_12R1
RQD.A12,MQ.13R1,543.9457,B2,INT,25,LQATU.13R1,LQATU_13R1
RQD.A12,MQ.14R1,597.3957,B1,EXT,22,LQATH.14R1,LQATH_14R1
RQD.A12,MQ.15R1,650.8457,B2,INT,26,LQATO.15R1,LQATO_15R1
RQD.A12,MQ.16R1,704.2957,B1,EXT,21,LQATH.16R1,LQATH_16R1
RQD.A12,MQ.17R1,757.7457,B2,INT,27,LQATK.17R1,LQATK_17R1
RQD.A12,MQ.18R1,811.1957,B1,EXT,20,LQATH.18R1,LQATH_18R1
RQD.A12,MQ.19R1,864.6457,B2,INT,28,LQATO.19R1,LQATO_19R1
RQD.A12,MQ.20R1,918.0957,B1,EXT,19,LQATH.20R1,LQATH_20R1
RQD.A12,MQ.21R1,971.5457,B2,INT,29,LQATK.21R1,LQATK_21R1
RQD.A12,MQ.22R1,1024.9957,B1,EXT,18,LQOAG.22R1,LQOAG_22R1
RQD.A12,MQ.23R1,1078.4457,B2,INT,30,LQASF.23R1,LQASF_23R1
RQD.A12,MQ.24R1,1131.8957,B1,EXT,17,LQOAG.24R1,LQOAG_24R1
RQD.A12,MQ.25R1,1185.3457,B2,INT,31,LQOAP.25R1,LQOAP_25R1
RQD.A12,MQ.26R1,1238.7957,B1,EXT,16,LQOAG.26R1,LQOAG_26R1
RQD.A12,MQ.27R1,1292.2457,B2,INT,32,LQASF.27R1,LQASF_27R1
RQD.A12,MQ.28R1,1345.6957,B1,EXT,15,LQOAG.28R1,LQOAG_28R1
RQD.A12,MQ.29R1,1399.1457,B2,INT,33,LQOBD.29R1,LQOBD_29R1
RQD.A12,MQ.30R1,1452.5957,B1,EXT,14,LQOAM.30R1,LQOAM_30R1
RQD.A12,MQ.31R1,1506.0457,B2,INT,34,LQOAT.31R1,LQOAT_31R1
RQD.A12,MQ.32R1,1559.4957,B1,EXT,13,LQOAG.32R1,LQOAG_32R1
RQD.A12,MQ.33R1,1612.9457,B2,INT,35,LQOBH.33R1,LQOBH_33R1
RQD.A12,MQ.34R1,1666.3957,B1,EXT,12,LQOAM.34R1,LQOAM_34R1
RQD.A12,MQ.33L2,1719.8457,B2,INT,36,LQOBD.33L2,LQOBD_33L2
RQD.A12,MQ.32L2,1773.2957,B1,EXT,11,LQOAM.32L2,LQOAM_32L2
RQD.A12,MQ.31L2,1826.7457,B2,INT,37,LQOAT.31L2,LQOAT_31L2
RQD.A12,MQ.30L2,1880.1957,B1,EXT,10,LQOAG.30L2,LQOAG_30L2
RQD.A12,MQ.29L2,1933.6457,B2,INT,38,LQOBD.29L2,LQOBD_29L2
RQD.A12,MQ.28L2,1987.0957,B1,EXT,9,LQOAM.28L2,LQOAM_28L2
RQD.A12,MQ.27L2,2040.5457,B2,INT,39,LQASF.27L2,LQASF_27L2
RQD.A12,MQ.26L2,2093.9957,B1,EXT,8,LQOAG.26L2,LQOAG_26L2
RQD.A12,MQ.25L2,2147.4457,B2,INT,40,LQOAP.25L2,LQOAP_25L2
RQD.A12,MQ.24L2,2200.8957,B1,EXT,7,LQOAG.24L2,LQOAG_24L2
RQD.A12,MQ.23L2,2254.3457,B2,INT,41,LQASF.23L2,LQASF_23L2
RQD.A12,MQ.22L2,2307.7957,B1,EXT,6,LQOAG.22L2,LQOAG_22L2
RQD.A12,MQ.21L2,2361.2457,B2,INT,42,LQATK.21L2,LQATK_21L2
RQD.A12,MQ.20L2,2414.6957,B1,EXT,5,LQATH.20L2,LQATH_20L2
RQD.A12,MQ.19L2,2468.1457,B2,INT,43,LQATO.19L2,LQATO_19L2
RQD.A12,MQ.18L2,2521.5957,B1,EXT,4,LQATH.18L2,LQATH_18L2
RQD.A12,MQ.17L2,2575.0457,B2,INT,44,LQATK.17L2,LQATK_17L2
RQD.A12,MQ.16L2,2628.4957,B1,EXT,3,LQATH.16L2,LQATH_16L2
RQD.A12,MQ.15L2,2681.9457,B2,INT,45,LQATO.15L2,LQATO_15L2
RQD.A12,MQ.14L2,2735.3957,B1,EXT,2,LQATH.14L2,LQATH_14L2
RQD.A12,MQ.13L2,2788.8457,B2,INT,46,LQATK.13L2,LQATK_13L2
RQD.A12,MQ.12L2,2842.2957,B1,EXT,1,LQATH.12L2,LQATH_12L2
RQD.A12,MQ.11L2,2895.5307,B2,INT,47,LQTCG.11L2,LQTCG_11L2
RQD.A23,MQ.11R2,3767.4851,B1,INT,51,LQTCC.11R2,LQTCC_11R2
