circuit,MagnetName,#Magnets,L_MQXA,L_MQXB,C_ground_MQXA,C_ground_MQXB,R_parallel,R1,R2,R3,R4,rc_par,l_par,c_par,I_start_PC1,I_end_1_PC1,I_end_2_PC1,dI_dt_PC1,dI_dt2_PC1,t_start_PC1,t_plateau_PC1,t_PC_off_PC1,t_PC_switch_off_PC1,L_parasitic_series_PC1,R_parasitic_series_PC1,R_parasitic_parallel_PC1,I_start_PC2,I_end_1_PC2,I_end_2_PC2,dI_dt_PC2,dI_dt2_PC2,t_start_PC2,t_plateau_PC2,t_PC_off_PC2,t_PC_switch_off_PC2,L_parasitic_series_PC2,R_parasitic_series_PC2,R_parasitic_parallel_PC2,I_start_PC3,I_end_1_PC3,I_end_2_PC3,dI_dt_PC3,dI_dt2_PC3,t_start_PC3,t_plateau_PC3,t_PC_off_PC3,t_PC_switch_off_PC3,L_parasitic_series_PC3,R_parasitic_series_PC3,R_parasitic_parallel_PC3
RQX.L1,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,3.20E-04,3.15E-04,3.15E-04,3.28E-04,1.00E-05,2.00E-06,0.3,0,100,6800,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4600,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RQX.L2,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,4.00E-04,4.50E-04,4.50E-04,2.30E-04,1.00E-05,2.00E-06,0.3,0,100,7180,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4780,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RQX.R8,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,4.65E-04,4.70E-04,4.70E-04,2.00E-04,1.00E-05,2.00E-06,0.3,0,100,7180,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4780,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RQX.L8,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,4.00E-04,4.80E-04,4.80E-04,3.10E-04,1.00E-05,2.00E-06,0.3,0,100,7180,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4780,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RQX.R2,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,3.80E-04,4.50E-04,4.50E-04,2.50E-04,1.00E-05,2.00E-06,0.3,0,100,7180,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4780,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RQX.R1,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,3.85E-04,3.30E-04,3.30E-04,2.40E-04,1.00E-05,2.00E-06,0.3,0,100,6800,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4600,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RQX.R5,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,4.38E-04,3.80E-04,3.80E-04,3.03E-04,1.00E-05,2.00E-06,0.3,0,100,6800,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4600,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RQX.L5,MQXA+MQXB,4,0.0907,0.0185,5.55E-08,4.37E-08,1.00E+03,4.00E-04,3.50E-04,3.50E-04,3.00E-04,1.00E-05,2.00E-06,0.3,0,100,6800,6.8,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,-100,-550,-1.5,-0.25,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0,100,4600,6,1,10,20,1110,1.00E-02,1.00E-09,1.00E-09,1.00E+06
