circuit,MagnetName,NumberOfMagnets,L_magnet,C_ground_magnet,R_parallel,R_circuit,R_crowbar,R_ground,I_start,I_end_1,I_end_2,dI_dt,dI_dt2,t_start,t_plateau,t_PC_off,t_PC_switch_off,L_parasitic_series,R_parasitic_series,R_parasitic_parallel
RCBCH10.L1B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.049743072,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.L2B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.054521742,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.L3B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.050786703,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.L4B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.043541264,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.L5B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.050661614,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.L6B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.049224746,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.L7B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.050048344,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.L8B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.042192224,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R1B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.047887423,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R2B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.041939251,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R3B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.263418371,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R4B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.04277171,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R5B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.048590844,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R6B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.047398462,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R7B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.058652109,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH10.R8B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.049335511,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH5.L1B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.093592852,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH5.L5B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.032566426,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH5.L8B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.037535691,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH5.R1B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.079947931,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH5.R2B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.029084333,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH5.R5B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.035151478,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.L1B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.056917914,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.L2B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.071141463,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.L3B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.04241518,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.L5B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.042497208,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.L7B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.035888793,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.L8B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.043008131,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.R1B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.044935956,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.R2B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.020815192,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.R3B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.205363576,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.R5B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.049359962,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.R7B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.057198146,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH6.R8B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.039988092,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.L1B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.036077343,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.L2B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.055001386,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.L3B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.021680036,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.L4B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.025259717,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.L5B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.0357689,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.L7B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.037191755,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.L8B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.023062618,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.R1B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.025358313,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.R2B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.020020919,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.R3B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.213825361,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.R4B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.031117991,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.R5B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.025144319,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.R7B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.031222783,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH7.R8B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.04790145,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH8.L1B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.032210622,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH8.L2B2,MCBCH,1,2.84,4.22E-09,1.00E+09,0.049564699,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBCH8.L3B1,MCBCH,1,2.84,4.22E-09,1.00E+09,0.03221623,8.00E-02,1.00E+09,0,40,72,0.667,0.25,10,20,200,1.00E-02,1.00E-09,1.00E-09,1.00E+06
