circuit,MagnetName,NumberOfMagnets,t_Start,t_PC_off,tQH,R1_Warm,V1_Warm,L1_Warm,R2_Warm,V2_Warm,L2_Warm,R3_Warm,V3_Warm,L3_Warm,R4_Warm,V4_Warm,L4_Warm,R5_Warm,L5_Warm,L_1,L_2,k_1_2,R_parallel,R_EE,L_mag,I_start,I_end_1,I_end_2,dI_dt,dI_dt2,t_start,t_plateau,t_PC_switch_off,L_parasitic_series,R_parasitic_series,R_parasitic_parallel,C_ground_magnet
RB.A12,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
RB.A23,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
RB.A34,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
RB.A45,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
RB.A56,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
RB.A67,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
RB.A78,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
RB.A81,MB_2COILS,154,0.00E+00,1.50E+03,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.00E+02,7.00E-02,9.80E-02,0.00E+00,7.60E+02,2.00E+03,10,1,10,20,1.00E-02,1.00E-09,1.00E-09,1.00E+06,3.00E-07
