circuit,NumberOfMagnets,R_circuit,R_EE,t_EE,Delay_Branch1,Delay_Branch2,Delay_Branch3,Delay_Branch4,L_Busbar_Total,I_value,I_start,I_end_1,I_end_2,dI_dt,dI_dt2,t_start,t_plateau,t_PC_off,t_PC_switch_off,L_parasitic_series,R_parasitic_series,R_parasitic_parallel,R_parallel
RQD_A12,47,0.001096,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A12,47,0.001029,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQD_A23,51,0.001163,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A23,51,0.001096,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQD_A34,51,0.000832,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A34,51,0.00084,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQD_A45,47,0.000842,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A45,47,0.000877,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQD_A56,47,0.000658,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A56,47,0.000732,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQD_A67,51,0.000821,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A67,51,0.000881,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQD_A78,51,0.001163,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A78,51,0.001059,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQD_A81,47,0.00104,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
RQF_A81,47,0.001059,6.85E-03,1257.236,0,0,0,0,0,0,0,5000,11850,10,1,10,20,1257.14,1.00E-02,1.00E-09,1.00E-09,1.00E+06,2.00E+01
