circuit,MagnetName,NumberOfMagnets,L_magnet,C_ground_magnet,R_parallel,R_circuit,R_crowbar,R_ground,I_start,I_end_1,I_end_2,dI_dt,dI_dt2,t_start,t_plateau,t_PC_off,t_PC_switch_off,L_parasitic_series,R_parasitic_series,R_parasitic_parallel
RCBH11.L1B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.050134106,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.L2B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.026133818,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.L3B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.051259815,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.L4B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.015352157,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.L5B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.052526789,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.L6B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.050315634,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.L7B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.048339572,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.L8B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.050817899,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R1B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.022905754,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R2B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.069838966,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R3B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.061797102,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R4B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.06691902,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R5B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.063020793,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R6B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.063505033,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R7B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.023868799,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH11.R8B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.063352887,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L1B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.060409482,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L2B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.06233216,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L3B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.063618613,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L4B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.062984125,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L5B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.022104091,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L6B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.036332141,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L7B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.018412321,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.L8B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.064366108,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R1B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.050179532,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R2B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.049964464,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R3B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.047587952,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R4B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.048199947,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R5B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.047007556,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R6B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.049339308,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R7B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.016077151,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH12.R8B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.047525961,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L1B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.052925171,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L2B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.048652376,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L3B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.049495571,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L4B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.049412048,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L5B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.052345398,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L6B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.049001637,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L7B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.048037803,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.L8B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.015887974,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R1B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.065567328,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R2B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.064453869,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R3B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.061604566,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R4B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.022527381,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R5B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.06274863,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R6B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.061995712,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R7B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.022779124,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH13.R8B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.06110769,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L1B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.060403862,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L2B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.062692843,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L3B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.062864062,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L4B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.063518787,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L5B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.06544524,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L6B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.061936848,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L7B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.062356694,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.L8B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.064584568,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R1B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.045999133,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R2B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.051032829,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R3B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.047518057,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R4B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.050967965,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R5B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.046846822,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R6B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.048279569,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R7B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.018662895,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH14.R8B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.018426685,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH15.L1B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.018555934,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH15.L2B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.026446796,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH15.L3B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.049060434,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH15.L4B1,MCBH,1,6.02,1.00E-09,1.00E+03,0.049217261,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
RCBH15.L5B2,MCBH,1,6.02,1.00E-09,1.00E+03,0.052318933,0.08,1.00E+09,0.00E+00,1.00E+01,5.50E+01,5.00E-01,2.50E-01,1.00E+01,2.00E+01,1.55E+02,1.00E-02,1.00E-09,1.00E-09,1.00E+06
