00:00:02.550,00:00:04.533,00:00:05.133,00:00:05.917,00:00:10.850,00:00:13.883,00:00:19.400,00:00:20.433,00:00:21.483,00:00:22.233,00:00:23.517,00:00:27.033,00:00:30.150,00:00:33.400,00:00:34.233,00:00:37.783,00:00:38.033,00:00:38.733,00:00:42.617,00:00:44.800,00:00:46.100,00:00:48.733,00:00:50.900,00:00:52.267,00:00:56.117,00:00:57.233,00:00:57.483,00:00:57.867,00:00:58.117,00:00:58.567,00:00:58.817,00:00:59.150,00:00:59.983,00:01:00.517,00:01:01.233,00:01:01.867,00:01:02.200,00:01:03.400,00:01:03.650,00:01:04.150,00:01:05.233,00:01:06.067,00:01:06.817,00:01:07.533,00:01:07.867,00:01:08.867,00:01:09.533,00:01:10.500,00:01:12.867,00:01:14.117,00:01:16.167,00:01:18.833,00:01:19.783,00:01:21.583,00:01:22.867,00:01:23.633,00:01:24.800,00:01:26.283,00:01:36.783,00:01:38.050,00:01:39.883,00:01:52.200,00:01:53.867,00:01:55.633,00:01:56.667,00:01:58.033,00:01:58.300,00:01:58.567,00:01:58.833,00:02:01.567,00:02:08.017,00:02:10.250,00:02:12.283,00:02:13.450,00:02:15.183,00:02:16.200,00:02:17.667,00:02:19.100,00:02:21.150,00:02:23.400,00:02:24.133,00:02:33.550,00:02:38.050,00:02:43.333,00:02:50.033,00:02:55.417,00:02:56.883,00:02:58.050,00:03:00.517,00:03:00.917,00:03:01.217,00:03:01.717,00:03:01.983,00:03:02.250,00:03:02.650,00:03:06.950,00:03:11.200,00:03:13.100,00:03:15.033,00:03:17.267,00:03:20.200,00:03:23.367,00:03:27.283,00:03:29.717,00:03:31.283,00:03:33.550,00:03:35.217,00:03:36.683,00:03:39.183,00:03:42.767,00:03:45.417,00:03:46.017,00:03:47.450,00:03:48.767,00:03:50.250,00:03:52.367,00:03:53.850,00:03:57.883,00:04:06.767,00:04:07.883,00:04:08.483,00:04:09.767,00:04:10.167,00:04:11.200,00:04:11.883,00:04:12.767,00:04:15.083,00:04:16.783,00:04:21.100,00:04:22.533,00:04:25.133,00:04:28.617,00:04:31.117,00:04:39.700,00:04:40.817,00:04:43.500,00:04:48.550
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,153,00:00:02.550,2.550,153,00:00:02.550,2.550
2,154,00:00:02.550,2.550,272,00:00:04.533,4.533,119,00:00:01.983,1.983
3,273,00:00:04.533,4.533,308,00:00:05.133,5.133,36,00:00:00.600,0.600
4,309,00:00:05.133,5.133,355,00:00:05.917,5.917,47,00:00:00.783,0.783
5,356,00:00:05.917,5.917,651,00:00:10.850,10.850,296,00:00:04.933,4.933
6,652,00:00:10.850,10.850,833,00:00:13.883,13.883,182,00:00:03.033,3.033
7,834,00:00:13.883,13.883,1164,00:00:19.400,19.400,331,00:00:05.517,5.517
8,1165,00:00:19.400,19.400,1226,00:00:20.433,20.433,62,00:00:01.033,1.033
9,1227,00:00:20.433,20.433,1289,00:00:21.483,21.483,63,00:00:01.050,1.050
10,1290,00:00:21.483,21.483,1334,00:00:22.233,22.233,45,00:00:00.750,0.750
11,1335,00:00:22.233,22.233,1411,00:00:23.517,23.517,77,00:00:01.283,1.283
12,1412,00:00:23.517,23.517,1622,00:00:27.033,27.033,211,00:00:03.517,3.517
13,1623,00:00:27.033,27.033,1809,00:00:30.150,30.150,187,00:00:03.117,3.117
14,1810,00:00:30.150,30.150,2004,00:00:33.400,33.400,195,00:00:03.250,3.250
15,2005,00:00:33.400,33.400,2054,00:00:34.233,34.233,50,00:00:00.833,0.833
16,2055,00:00:34.233,34.233,2267,00:00:37.783,37.783,213,00:00:03.550,3.550
17,2268,00:00:37.783,37.783,2282,00:00:38.033,38.033,15,00:00:00.250,0.250
18,2283,00:00:38.033,38.033,2324,00:00:38.733,38.733,42,00:00:00.700,0.700
19,2325,00:00:38.733,38.733,2557,00:00:42.617,42.617,233,00:00:03.883,3.883
20,2558,00:00:42.617,42.617,2688,00:00:44.800,44.800,131,00:00:02.183,2.183
21,2689,00:00:44.800,44.800,2766,00:00:46.100,46.100,78,00:00:01.300,1.300
22,2767,00:00:46.100,46.100,2924,00:00:48.733,48.733,158,00:00:02.633,2.633
23,2925,00:00:48.733,48.733,3054,00:00:50.900,50.900,130,00:00:02.167,2.167
24,3055,00:00:50.900,50.900,3136,00:00:52.267,52.267,82,00:00:01.367,1.367
25,3137,00:00:52.267,52.267,3367,00:00:56.117,56.117,231,00:00:03.850,3.850
26,3368,00:00:56.117,56.117,3434,00:00:57.233,57.233,67,00:00:01.117,1.117
27,3435,00:00:57.233,57.233,3449,00:00:57.483,57.483,15,00:00:00.250,0.250
28,3450,00:00:57.483,57.483,3472,00:00:57.867,57.867,23,00:00:00.383,0.383
29,3473,00:00:57.867,57.867,3487,00:00:58.117,58.117,15,00:00:00.250,0.250
30,3488,00:00:58.117,58.117,3514,00:00:58.567,58.567,27,00:00:00.450,0.450
31,3515,00:00:58.567,58.567,3529,00:00:58.817,58.817,15,00:00:00.250,0.250
32,3530,00:00:58.817,58.817,3549,00:00:59.150,59.150,20,00:00:00.333,0.333
33,3550,00:00:59.150,59.150,3599,00:00:59.983,59.983,50,00:00:00.833,0.833
34,3600,00:00:59.983,59.983,3631,00:01:00.517,60.517,32,00:00:00.533,0.533
35,3632,00:01:00.517,60.517,3674,00:01:01.233,61.233,43,00:00:00.717,0.717
36,3675,00:01:01.233,61.233,3712,00:01:01.867,61.867,38,00:00:00.633,0.633
37,3713,00:01:01.867,61.867,3732,00:01:02.200,62.200,20,00:00:00.333,0.333
38,3733,00:01:02.200,62.200,3804,00:01:03.400,63.400,72,00:00:01.200,1.200
39,3805,00:01:03.400,63.400,3819,00:01:03.650,63.650,15,00:00:00.250,0.250
40,3820,00:01:03.650,63.650,3849,00:01:04.150,64.150,30,00:00:00.500,0.500
41,3850,00:01:04.150,64.150,3914,00:01:05.233,65.233,65,00:00:01.083,1.083
42,3915,00:01:05.233,65.233,3964,00:01:06.067,66.067,50,00:00:00.833,0.833
43,3965,00:01:06.067,66.067,4009,00:01:06.817,66.817,45,00:00:00.750,0.750
44,4010,00:01:06.817,66.817,4052,00:01:07.533,67.533,43,00:00:00.717,0.717
45,4053,00:01:07.533,67.533,4072,00:01:07.867,67.867,20,00:00:00.333,0.333
46,4073,00:01:07.867,67.867,4132,00:01:08.867,68.867,60,00:00:01.000,1.000
47,4133,00:01:08.867,68.867,4172,00:01:09.533,69.533,40,00:00:00.667,0.667
48,4173,00:01:09.533,69.533,4230,00:01:10.500,70.500,58,00:00:00.967,0.967
49,4231,00:01:10.500,70.500,4372,00:01:12.867,72.867,142,00:00:02.367,2.367
50,4373,00:01:12.867,72.867,4447,00:01:14.117,74.117,75,00:00:01.250,1.250
51,4448,00:01:14.117,74.117,4570,00:01:16.167,76.167,123,00:00:02.050,2.050
52,4571,00:01:16.167,76.167,4730,00:01:18.833,78.833,160,00:00:02.667,2.667
53,4731,00:01:18.833,78.833,4787,00:01:19.783,79.783,57,00:00:00.950,0.950
54,4788,00:01:19.783,79.783,4895,00:01:21.583,81.583,108,00:00:01.800,1.800
55,4896,00:01:21.583,81.583,4972,00:01:22.867,82.867,77,00:00:01.283,1.283
56,4973,00:01:22.867,82.867,5018,00:01:23.633,83.633,46,00:00:00.767,0.767
57,5019,00:01:23.633,83.633,5088,00:01:24.800,84.800,70,00:00:01.167,1.167
58,5089,00:01:24.800,84.800,5177,00:01:26.283,86.283,89,00:00:01.483,1.483
59,5178,00:01:26.283,86.283,5807,00:01:36.783,96.783,630,00:00:10.500,10.500
60,5808,00:01:36.783,96.783,5883,00:01:38.050,98.050,76,00:00:01.267,1.267
61,5884,00:01:38.050,98.050,5993,00:01:39.883,99.883,110,00:00:01.833,1.833
62,5994,00:01:39.883,99.883,6732,00:01:52.200,112.200,739,00:00:12.317,12.317
63,6733,00:01:52.200,112.200,6832,00:01:53.867,113.867,100,00:00:01.667,1.667
64,6833,00:01:53.867,113.867,6938,00:01:55.633,115.633,106,00:00:01.767,1.767
65,6939,00:01:55.633,115.633,7000,00:01:56.667,116.667,62,00:00:01.033,1.033
66,7001,00:01:56.667,116.667,7082,00:01:58.033,118.033,82,00:00:01.367,1.367
67,7083,00:01:58.033,118.033,7098,00:01:58.300,118.300,16,00:00:00.267,0.267
68,7099,00:01:58.300,118.300,7114,00:01:58.567,118.567,16,00:00:00.267,0.267
69,7115,00:01:58.567,118.567,7130,00:01:58.833,118.833,16,00:00:00.267,0.267
70,7131,00:01:58.833,118.833,7294,00:02:01.567,121.567,164,00:00:02.733,2.733
71,7295,00:02:01.567,121.567,7681,00:02:08.017,128.017,387,00:00:06.450,6.450
72,7682,00:02:08.017,128.017,7815,00:02:10.250,130.250,134,00:00:02.233,2.233
73,7816,00:02:10.250,130.250,7937,00:02:12.283,132.283,122,00:00:02.033,2.033
74,7938,00:02:12.283,132.283,8007,00:02:13.450,133.450,70,00:00:01.167,1.167
