00:00:02.550,00:00:04.533,00:00:05.133,00:00:05.917,00:00:10.850,00:00:13.883,00:00:19.400,00:00:20.433,00:00:21.483,00:00:22.233,00:00:23.517,00:00:27.033,00:00:30.150,00:00:33.400,00:00:34.233,00:00:37.783,00:00:38.033,00:00:38.733,00:00:42.617,00:00:44.800,00:00:46.100,00:00:48.733,00:00:50.900,00:00:52.267,00:00:56.117,00:00:57.233,00:00:57.483,00:00:57.867,00:00:58.117,00:00:58.567,00:00:58.817,00:00:59.150,00:00:59.983,00:01:00.517,00:01:01.233,00:01:01.867,00:01:02.200,00:01:03.400,00:01:03.650,00:01:04.150,00:01:05.233,00:01:06.067,00:01:06.817,00:01:07.533,00:01:07.867,00:01:08.867,00:01:09.533,00:01:10.500,00:01:12.867,00:01:14.117,00:01:16.167,00:01:18.833,00:01:19.783,00:01:21.583,00:01:22.867,00:01:23.633,00:01:24.800,00:01:26.283,00:01:36.783,00:01:38.050,00:01:39.883,00:01:52.200,00:01:53.867,00:01:55.633,00:01:56.667,00:01:58.033,00:01:58.300,00:01:58.567,00:01:58.833,00:02:01.567,00:02:08.017,00:02:10.250,00:02:12.283,00:02:13.450,00:02:15.183,00:02:16.200,00:02:17.667,00:02:19.100,00:02:21.150,00:02:23.400,00:02:24.133,00:02:33.550,00:02:38.050,00:02:43.333,00:02:50.033,00:02:55.417,00:02:56.883,00:02:58.050,00:03:00.517,00:03:00.917,00:03:01.217,00:03:01.717,00:03:01.983,00:03:02.250,00:03:02.650,00:03:06.950,00:03:11.200,00:03:13.100,00:03:15.033,00:03:17.267,00:03:20.200,00:03:23.367,00:03:27.283,00:03:29.717,00:03:31.283,00:03:33.550,00:03:35.217,00:03:36.683,00:03:39.183,00:03:42.767,00:03:45.417,00:03:46.017,00:03:47.450,00:03:48.767,00:03:50.250,00:03:52.367,00:03:53.850,00:03:57.883,00:04:06.767,00:04:07.883,00:04:08.483,00:04:09.767,00:04:10.167,00:04:11.200,00:04:11.883,00:04:12.767,00:04:15.083,00:04:16.783,00:04:21.100,00:04:22.533,00:04:25.133,00:04:28.617,00:04:31.117,00:04:39.700,00:04:40.817,00:04:43.500,00:04:48.550
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
75,8008,00:02:13.450,133.450,8111,00:02:15.183,135.183,104,00:00:01.733,1.733
76,8112,00:02:15.183,135.183,8172,00:02:16.200,136.200,61,00:00:01.017,1.017
77,8173,00:02:16.200,136.200,8260,00:02:17.667,137.667,88,00:00:01.467,1.467
78,8261,00:02:17.667,137.667,8346,00:02:19.100,139.100,86,00:00:01.433,1.433
79,8347,00:02:19.100,139.100,8469,00:02:21.150,141.150,123,00:00:02.050,2.050
80,8470,00:02:21.150,141.150,8604,00:02:23.400,143.400,135,00:00:02.250,2.250
81,8605,00:02:23.400,143.400,8648,00:02:24.133,144.133,44,00:00:00.733,0.733
82,8649,00:02:24.133,144.133,9213,00:02:33.550,153.550,565,00:00:09.417,9.417
83,9214,00:02:33.550,153.550,9483,00:02:38.050,158.050,270,00:00:04.500,4.500
84,9484,00:02:38.050,158.050,9800,00:02:43.333,163.333,317,00:00:05.283,5.283
85,9801,00:02:43.333,163.333,10202,00:02:50.033,170.033,402,00:00:06.700,6.700
86,10203,00:02:50.033,170.033,10525,00:02:55.417,175.417,323,00:00:05.383,5.383
87,10526,00:02:55.417,175.417,10613,00:02:56.883,176.883,88,00:00:01.467,1.467
88,10614,00:02:56.883,176.883,10683,00:02:58.050,178.050,70,00:00:01.167,1.167
89,10684,00:02:58.050,178.050,10831,00:03:00.517,180.517,148,00:00:02.467,2.467
90,10832,00:03:00.517,180.517,10855,00:03:00.917,180.917,24,00:00:00.400,0.400
91,10856,00:03:00.917,180.917,10873,00:03:01.217,181.217,18,00:00:00.300,0.300
92,10874,00:03:01.217,181.217,10903,00:03:01.717,181.717,30,00:00:00.500,0.500
93,10904,00:03:01.717,181.717,10919,00:03:01.983,181.983,16,00:00:00.267,0.267
94,10920,00:03:01.983,181.983,10935,00:03:02.250,182.250,16,00:00:00.267,0.267
95,10936,00:03:02.250,182.250,10959,00:03:02.650,182.650,24,00:00:00.400,0.400
96,10960,00:03:02.650,182.650,11217,00:03:06.950,186.950,258,00:00:04.300,4.300
97,11218,00:03:06.950,186.950,11472,00:03:11.200,191.200,255,00:00:04.250,4.250
98,11473,00:03:11.200,191.200,11586,00:03:13.100,193.100,114,00:00:01.900,1.900
99,11587,00:03:13.100,193.100,11702,00:03:15.033,195.033,116,00:00:01.933,1.933
100,11703,00:03:15.033,195.033,11836,00:03:17.267,197.267,134,00:00:02.233,2.233
101,11837,00:03:17.267,197.267,12012,00:03:20.200,200.200,176,00:00:02.933,2.933
102,12013,00:03:20.200,200.200,12202,00:03:23.367,203.367,190,00:00:03.167,3.167
103,12203,00:03:23.367,203.367,12437,00:03:27.283,207.283,235,00:00:03.917,3.917
104,12438,00:03:27.283,207.283,12583,00:03:29.717,209.717,146,00:00:02.433,2.433
105,12584,00:03:29.717,209.717,12677,00:03:31.283,211.283,94,00:00:01.567,1.567
106,12678,00:03:31.283,211.283,12813,00:03:33.550,213.550,136,00:00:02.267,2.267
107,12814,00:03:33.550,213.550,12913,00:03:35.217,215.217,100,00:00:01.667,1.667
108,12914,00:03:35.217,215.217,13001,00:03:36.683,216.683,88,00:00:01.467,1.467
109,13002,00:03:36.683,216.683,13151,00:03:39.183,219.183,150,00:00:02.500,2.500
110,13152,00:03:39.183,219.183,13366,00:03:42.767,222.767,215,00:00:03.583,3.583
111,13367,00:03:42.767,222.767,13525,00:03:45.417,225.417,159,00:00:02.650,2.650
112,13526,00:03:45.417,225.417,13561,00:03:46.017,226.017,36,00:00:00.600,0.600
113,13562,00:03:46.017,226.017,13647,00:03:47.450,227.450,86,00:00:01.433,1.433
114,13648,00:03:47.450,227.450,13726,00:03:48.767,228.767,79,00:00:01.317,1.317
115,13727,00:03:48.767,228.767,13815,00:03:50.250,230.250,89,00:00:01.483,1.483
116,13816,00:03:50.250,230.250,13942,00:03:52.367,232.367,127,00:00:02.117,2.117
117,13943,00:03:52.367,232.367,14031,00:03:53.850,233.850,89,00:00:01.483,1.483
118,14032,00:03:53.850,233.850,14273,00:03:57.883,237.883,242,00:00:04.033,4.033
119,14274,00:03:57.883,237.883,14806,00:04:06.767,246.767,533,00:00:08.883,8.883
120,14807,00:04:06.767,246.767,14873,00:04:07.883,247.883,67,00:00:01.117,1.117
121,14874,00:04:07.883,247.883,14909,00:04:08.483,248.483,36,00:00:00.600,0.600
122,14910,00:04:08.483,248.483,14986,00:04:09.767,249.767,77,00:00:01.283,1.283
123,14987,00:04:09.767,249.767,15010,00:04:10.167,250.167,24,00:00:00.400,0.400
124,15011,00:04:10.167,250.167,15072,00:04:11.200,251.200,62,00:00:01.033,1.033
125,15073,00:04:11.200,251.200,15113,00:04:11.883,251.883,41,00:00:00.683,0.683
126,15114,00:04:11.883,251.883,15166,00:04:12.767,252.767,53,00:00:00.883,0.883
127,15167,00:04:12.767,252.767,15305,00:04:15.083,255.083,139,00:00:02.317,2.317
128,15306,00:04:15.083,255.083,15407,00:04:16.783,256.783,102,00:00:01.700,1.700
129,15408,00:04:16.783,256.783,15666,00:04:21.100,261.100,259,00:00:04.317,4.317
130,15667,00:04:21.100,261.100,15752,00:04:22.533,262.533,86,00:00:01.433,1.433
131,15753,00:04:22.533,262.533,15908,00:04:25.133,265.133,156,00:00:02.600,2.600
132,15909,00:04:25.133,265.133,16117,00:04:28.617,268.617,209,00:00:03.483,3.483
133,16118,00:04:28.617,268.617,16267,00:04:31.117,271.117,150,00:00:02.500,2.500
134,16268,00:04:31.117,271.117,16782,00:04:39.700,279.700,515,00:00:08.583,8.583
135,16783,00:04:39.700,279.700,16849,00:04:40.817,280.817,67,00:00:01.117,1.117
136,16850,00:04:40.817,280.817,17010,00:04:43.500,283.500,161,00:00:02.683,2.683
137,17011,00:04:43.500,283.500,17313,00:04:48.550,288.550,303,00:00:05.050,5.050
138,17314,00:04:48.550,288.550,17391,00:04:49.850,289.850,78,00:00:01.300,1.300
