Model,CUDACores,TensorCores,HalfPrecisionTFLOPS,SinglePrecisionTFLOPS,DoublePrecisionTFLOPS,Memory,DeepLearningTFLOPS
t4,2560.0,320.0,65.0,8.1,0.0,16.0,0.0
v100,5120.0,640.0,125.0,14.0,7.0,16.0,112.0
v100-32,5120.0,640.0,125.0,14.7,7.0,32.0,112.0
a100,6912.0,432.0,312.0,19.5,9.7,40.0,156.0
a100-80,6912.0,432.0,19.5,19.5,19.5,80.0,156.0
