ds [m],sAvePositions [m],x3Dsurf 1 [m],x3Dsurf 2 [m],y3Dsurf 1 [m],y3Dsurf 2 [m],z3Dsurf 1 [m],z3Dsurf 2 [m],x3Dsurf_2 1 [m],x3Dsurf_2 2 [m],y3Dsurf_2 1 [m],y3Dsurf_2 2 [m],z3Dsurf_2 1 [m],z3Dsurf_2 2 [m],nodeToHalfTurn [-],TransportCurrent [A],Bx [T],By [T],Bz [T],Bl [T],Bh [T],Bw [T]
0.001,0.0005,0.000625,0.000625,-0.000365,0.000365,0,0,-0.000625,0.000625,0.000365,0.000365,0,0,1,1,0,7.85E-05,0,0,7.85E-05,0
0.001,0.0015,0.000625,0.000625,-0.000365,0.000365,0.001,0.001,-0.000625,0.000625,0.000365,0.000365,0.001,0.001,1,1,0,0.000235598,0,0,0.000235598,0
0.001,0.0025,0.000625,0.000625,-0.000365,0.000365,0.002,0.002,-0.000625,0.000625,0.000365,0.000365,0.002,0.002,1,1,0,0.000392598,0,0,0.000392598,0
0.001,0.0035,0.000625,0.000625,-0.000365,0.000365,0.003,0.003,-0.000625,0.000625,0.000365,0.000365,0.003,0.003,1,1,0,0.000549502,0,0,0.000549502,0
0.001,0.0045,0.000625,0.000625,-0.000365,0.000365,0.004,0.004,-0.000625,0.000625,0.000365,0.000365,0.004,0.004,1,1,0,0.00070627,0,0,0.00070627,0
0.001,0.0055,0.000625,0.000625,-0.000365,0.000365,0.005,0.005,-0.000625,0.000625,0.000365,0.000365,0.005,0.005,1,1,0,0.000862864,0,0,0.000862864,0
0.001,0.0065,0.000625,0.000625,-0.000365,0.000365,0.006,0.006,-0.000625,0.000625,0.000365,0.000365,0.006,0.006,1,1,0,0.001019245,0,0,0.001019245,0
0.001,0.0075,0.000625,0.000625,-0.000365,0.000365,0.007,0.007,-0.000625,0.000625,0.000365,0.000365,0.007,0.007,1,1,0,0.001175374,0,0,0.001175374,0
0.001,0.0085,0.000625,0.000625,-0.000365,0.000365,0.008,0.008,-0.000625,0.000625,0.000365,0.000365,0.008,0.008,1,1,0,0.001331213,0,0,0.001331213,0
0.001,0.0095,0.000625,0.000625,-0.000365,0.000365,0.009,0.009,-0.000625,0.000625,0.000365,0.000365,0.009,0.009,1,1,0,0.001486724,0,0,0.001486724,0
0.001,0.0105,0.000625,0.000625,-0.000365,0.000365,0.01,0.01,-0.000625,0.000625,0.000365,0.000365,0.01,0.01,1,1,0,0.001641868,0,0,0.001641868,0
0.001,0.0115,0.000625,0.000625,-0.000365,0.000365,0.011,0.011,-0.000625,0.000625,0.000365,0.000365,0.011,0.011,1,1,0,0.001796607,0,0,0.001796607,0
0.001,0.0125,0.000625,0.000625,-0.000365,0.000365,0.012,0.012,-0.000625,0.000625,0.000365,0.000365,0.012,0.012,1,1,0,0.001950903,0,0,0.001950903,0
0.001,0.0135,0.000625,0.000625,-0.000365,0.000365,0.013,0.013,-0.000625,0.000625,0.000365,0.000365,0.013,0.013,1,1,0,0.002104718,0,0,0.002104718,0
0.001,0.0145,0.000625,0.000625,-0.000365,0.000365,0.014,0.014,-0.000625,0.000625,0.000365,0.000365,0.014,0.014,1,1,0,0.002258013,0,0,0.002258013,0
0.001,0.0155,0.000625,0.000625,-0.000365,0.000365,0.015,0.015,-0.000625,0.000625,0.000365,0.000365,0.015,0.015,1,1,0,0.002410751,0,0,0.002410751,0
0.001,0.0165,0.000625,0.000625,-0.000365,0.000365,0.016,0.016,-0.000625,0.000625,0.000365,0.000365,0.016,0.016,1,1,0,0.002562894,0,0,0.002562894,0
0.001,0.0175,0.000625,0.000625,-0.000365,0.000365,0.017,0.017,-0.000625,0.000625,0.000365,0.000365,0.017,0.017,1,1,0,0.002714404,0,0,0.002714404,0
0.001,0.0185,0.000625,0.000625,-0.000365,0.000365,0.018,0.018,-0.000625,0.000625,0.000365,0.000365,0.018,0.018,1,1,0,0.002865246,0,0,0.002865246,0
0.001,0.0195,0.000625,0.000625,-0.000365,0.000365,0.019,0.019,-0.000625,0.000625,0.000365,0.000365,0.019,0.019,1,1,0,0.00301538,0,0,0.00301538,0
0.001,0.0205,0.000625,0.000625,-0.000365,0.000365,0.02,0.02,-0.000625,0.000625,0.000365,0.000365,0.02,0.02,1,1,0,0.00316477,0,0,0.00316477,0
0.001,0.0215,0.000625,0.000625,-0.000365,0.000365,0.021,0.021,-0.000625,0.000625,0.000365,0.000365,0.021,0.021,1,1,0,0.003313379,0,0,0.003313379,0
0.001,0.0225,0.000625,0.000625,-0.000365,0.000365,0.022,0.022,-0.000625,0.000625,0.000365,0.000365,0.022,0.022,1,1,0,0.003461171,0,0,0.003461171,0
0.001,0.0235,0.000625,0.000625,-0.000365,0.000365,0.023,0.023,-0.000625,0.000625,0.000365,0.000365,0.023,0.023,1,1,0,0.003608108,0,0,0.003608108,0
0.001,0.0245,0.000625,0.000625,-0.000365,0.000365,0.024,0.024,-0.000625,0.000625,0.000365,0.000365,0.024,0.024,1,1,0,0.003754156,0,0,0.003754156,0
0.001,0.0255,0.000625,0.000625,-0.000365,0.000365,0.025,0.025,-0.000625,0.000625,0.000365,0.000365,0.025,0.025,1,1,0,0.003899277,0,0,0.003899277,0
0.001,0.0265,0.000625,0.000625,-0.000365,0.000365,0.026,0.026,-0.000625,0.000625,0.000365,0.000365,0.026,0.026,1,1,0,0.004043436,0,0,0.004043436,0
0.001,0.0275,0.000625,0.000625,-0.000365,0.000365,0.027,0.027,-0.000625,0.000625,0.000365,0.000365,0.027,0.027,1,1,0,0.004186597,0,0,0.004186597,0
0.001,0.0285,0.000625,0.000625,-0.000365,0.000365,0.028,0.028,-0.000625,0.000625,0.000365,0.000365,0.028,0.028,1,1,0,0.004328726,0,0,0.004328726,0
0.001,0.0295,0.000625,0.000625,-0.000365,0.000365,0.029,0.029,-0.000625,0.000625,0.000365,0.000365,0.029,0.029,1,1,0,0.004469786,0,0,0.004469786,0
0.001,0.0305,0.000625,0.000625,-0.000365,0.000365,0.03,0.03,-0.000625,0.000625,0.000365,0.000365,0.03,0.03,1,1,0,0.004609744,0,0,0.004609744,0
0.001,0.0315,0.000625,0.000625,-0.000365,0.000365,0.031,0.031,-0.000625,0.000625,0.000365,0.000365,0.031,0.031,1,1,0,0.004748564,0,0,0.004748564,0
0.001,0.0325,0.000625,0.000625,-0.000365,0.000365,0.032,0.032,-0.000625,0.000625,0.000365,0.000365,0.032,0.032,1,1,0,0.004886212,0,0,0.004886212,0
0.001,0.0335,0.000625,0.000625,-0.000365,0.000365,0.033,0.033,-0.000625,0.000625,0.000365,0.000365,0.033,0.033,1,1,0,0.005022655,0,0,0.005022655,0
0.001,0.0345,0.000625,0.000625,-0.000365,0.000365,0.034,0.034,-0.000625,0.000625,0.000365,0.000365,0.034,0.034,1,1,0,0.005157859,0,0,0.005157859,0
0.001,0.0355,0.000625,0.000625,-0.000365,0.000365,0.035,0.035,-0.000625,0.000625,0.000365,0.000365,0.035,0.035,1,1,0,0.00529179,0,0,0.00529179,0
0.001,0.0365,0.000625,0.000625,-0.000365,0.000365,0.036,0.036,-0.000625,0.000625,0.000365,0.000365,0.036,0.036,1,1,0,0.005424415,0,0,0.005424415,0
0.001,0.0375,0.000625,0.000625,-0.000365,0.000365,0.037,0.037,-0.000625,0.000625,0.000365,0.000365,0.037,0.037,1,1,0,0.005555702,0,0,0.005555702,0
0.001,0.0385,0.000625,0.000625,-0.000365,0.000365,0.038,0.038,-0.000625,0.000625,0.000365,0.000365,0.038,0.038,1,1,0,0.005685619,0,0,0.005685619,0
0.001,0.0395,0.000625,0.000625,-0.000365,0.000365,0.039,0.039,-0.000625,0.000625,0.000365,0.000365,0.039,0.039,1,1,0,0.005814132,0,0,0.005814132,0
0.001,0.0405,0.000625,0.000625,-0.000365,0.000365,0.04,0.04,-0.000625,0.000625,0.000365,0.000365,0.04,0.04,1,1,0,0.005941211,0,0,0.005941211,0
0.001,0.0415,0.000625,0.000625,-0.000365,0.000365,0.041,0.041,-0.000625,0.000625,0.000365,0.000365,0.041,0.041,1,1,0,0.006066824,0,0,0.006066824,0
0.001,0.0425,0.000625,0.000625,-0.000365,0.000365,0.042,0.042,-0.000625,0.000625,0.000365,0.000365,0.042,0.042,1,1,0,0.006190939,0,0,0.006190939,0
0.001,0.0435,0.000625,0.000625,-0.000365,0.000365,0.043,0.043,-0.000625,0.000625,0.000365,0.000365,0.043,0.043,1,1,0,0.006313528,0,0,0.006313528,0
0.001,0.0445,0.000625,0.000625,-0.000365,0.000365,0.044,0.044,-0.000625,0.000625,0.000365,0.000365,0.044,0.044,1,1,0,0.006434559,0,0,0.006434559,0
0.001,0.0455,0.000625,0.000625,-0.000365,0.000365,0.045,0.045,-0.000625,0.000625,0.000365,0.000365,0.045,0.045,1,1,0,0.006554002,0,0,0.006554002,0
0.001,0.0465,0.000625,0.000625,-0.000365,0.000365,0.046,0.046,-0.000625,0.000625,0.000365,0.000365,0.046,0.046,1,1,0,0.006671828,0,0,0.006671828,0
0.001,0.0475,0.000625,0.000625,-0.000365,0.000365,0.047,0.047,-0.000625,0.000625,0.000365,0.000365,0.047,0.047,1,1,0,0.006788007,0,0,0.006788007,0
0.001,0.0485,0.000625,0.000625,-0.000365,0.000365,0.048,0.048,-0.000625,0.000625,0.000365,0.000365,0.048,0.048,1,1,0,0.006902512,0,0,0.006902512,0
0.001,0.0495,0.000625,0.000625,-0.000365,0.000365,0.049,0.049,-0.000625,0.000625,0.000365,0.000365,0.049,0.049,1,1,0,0.007015314,0,0,0.007015314,0
0.001,0.0505,0.000625,0.000625,-0.000365,0.000365,0.05,0.05,-0.000625,0.000625,0.000365,0.000365,0.05,0.05,1,1,0,0.007126385,0,0,0.007126385,0
0.001,0.0515,0.000625,0.000625,-0.000365,0.000365,0.051,0.051,-0.000625,0.000625,0.000365,0.000365,0.051,0.051,1,1,0,0.007235698,0,0,0.007235698,0
0.001,0.0525,0.000625,0.000625,-0.000365,0.000365,0.052,0.052,-0.000625,0.000625,0.000365,0.000365,0.052,0.052,1,1,0,0.007343225,0,0,0.007343225,0
0.001,0.0535,0.000625,0.000625,-0.000365,0.000365,0.053,0.053,-0.000625,0.000625,0.000365,0.000365,0.053,0.053,1,1,0,0.007448941,0,0,0.007448941,0
0.001,0.0545,0.000625,0.000625,-0.000365,0.000365,0.054,0.054,-0.000625,0.000625,0.000365,0.000365,0.054,0.054,1,1,0,0.007552818,0,0,0.007552818,0
0.001,0.0555,0.000625,0.000625,-0.000365,0.000365,0.055,0.055,-0.000625,0.000625,0.000365,0.000365,0.055,0.055,1,1,0,0.007654832,0,0,0.007654832,0
0.001,0.0565,0.000625,0.000625,-0.000365,0.000365,0.056,0.056,-0.000625,0.000625,0.000365,0.000365,0.056,0.056,1,1,0,0.007754957,0,0,0.007754957,0
0.001,0.0575,0.000625,0.000625,-0.000365,0.000365,0.057,0.057,-0.000625,0.000625,0.000365,0.000365,0.057,0.057,1,1,0,0.007853169,0,0,0.007853169,0
0.001,0.0585,0.000625,0.000625,-0.000365,0.000365,0.058,0.058,-0.000625,0.000625,0.000365,0.000365,0.058,0.058,1,1,0,0.007949444,0,0,0.007949444,0
0.001,0.0595,0.000625,0.000625,-0.000365,0.000365,0.059,0.059,-0.000625,0.000625,0.000365,0.000365,0.059,0.059,1,1,0,0.008043756,0,0,0.008043756,0
0.001,0.0605,0.000625,0.000625,-0.000365,0.000365,0.06,0.06,-0.000625,0.000625,0.000365,0.000365,0.06,0.06,1,1,0,0.008136084,0,0,0.008136084,0
0.001,0.0615,0.000625,0.000625,-0.000365,0.000365,0.061,0.061,-0.000625,0.000625,0.000365,0.000365,0.061,0.061,1,1,0,0.008226405,0,0,0.008226405,0
