Algo, Node Num, Edge Num, Time
Brute Force, 1, 1, 0.0
Greedy, 1, 1, 0.0
RLF, 1, 1, 0.0
Brute Force, 1, 2, 0.0
Greedy, 1, 2, 0.0
RLF, 1, 2, 0.0
Brute Force, 1, 3, 0.0
Greedy, 1, 3, 0.0
RLF, 1, 3, 0.0
Brute Force, 1, 4, 0.0
Greedy, 1, 4, 0.0
RLF, 1, 4, 0.0
Brute Force, 1, 5, 0.0
Greedy, 1, 5, 0.0
RLF, 1, 5, 0.0
Brute Force, 1, 6, 0.0
Greedy, 1, 6, 0.0
RLF, 1, 6, 0.0
Brute Force, 1, 7, 0.0
Greedy, 1, 7, 0.0
RLF, 1, 7, 0.0
Brute Force, 1, 8, 0.0
Greedy, 1, 8, 0.0
RLF, 1, 8, 0.0
Brute Force, 1, 9, 0.0
Greedy, 1, 9, 0.0
RLF, 1, 9, 0.0
Brute Force, 1, 10, 0.0
Greedy, 1, 10, 0.0
RLF, 1, 10, 0.0
Brute Force, 1, 11, 0.0
Greedy, 1, 11, 0.0
RLF, 1, 11, 0.0
Brute Force, 1, 12, 0.0
Greedy, 1, 12, 0.0
RLF, 1, 12, 0.0
Brute Force, 1, 13, 0.0
Greedy, 1, 13, 0.0
RLF, 1, 13, 0.0
Brute Force, 1, 14, 0.0
Greedy, 1, 14, 0.0
RLF, 1, 14, 0.0
Brute Force, 1, 15, 0.0
Greedy, 1, 15, 0.0
RLF, 1, 15, 0.0
Brute Force, 1, 16, 0.0
Greedy, 1, 16, 0.0
RLF, 1, 16, 0.0
Brute Force, 1, 17, 0.0
Greedy, 1, 17, 0.0
RLF, 1, 17, 0.0
Brute Force, 1, 18, 0.0
Greedy, 1, 18, 0.0
RLF, 1, 18, 0.0
Brute Force, 1, 19, 0.0
Greedy, 1, 19, 0.0
RLF, 1, 19, 0.0
Brute Force, 1, 20, 0.0
Greedy, 1, 20, 0.0
RLF, 1, 20, 0.0
Brute Force, 1, 21, 0.0
Greedy, 1, 21, 0.0
RLF, 1, 21, 0.0
Brute Force, 1, 22, 0.0
Greedy, 1, 22, 0.0
RLF, 1, 22, 0.0
Brute Force, 1, 23, 0.0
Greedy, 1, 23, 0.0
RLF, 1, 23, 0.0
Brute Force, 1, 24, 0.0
Greedy, 1, 24, 0.0
RLF, 1, 24, 0.0
Brute Force, 1, 25, 0.0
Greedy, 1, 25, 0.0
RLF, 1, 25, 0.0
Brute Force, 1, 26, 0.0
Greedy, 1, 26, 0.0
RLF, 1, 26, 0.0
Brute Force, 1, 27, 0.0
Greedy, 1, 27, 0.0
RLF, 1, 27, 0.0
Brute Force, 1, 28, 0.0
Greedy, 1, 28, 0.0
RLF, 1, 28, 0.0
Brute Force, 1, 29, 0.0
Greedy, 1, 29, 0.0
RLF, 1, 29, 0.0
Brute Force, 1, 30, 0.0
Greedy, 1, 30, 0.0
RLF, 1, 30, 0.0
Brute Force, 1, 31, 0.0
Greedy, 1, 31, 0.0
RLF, 1, 31, 0.0
Brute Force, 1, 32, 0.0
Greedy, 1, 32, 0.0
RLF, 1, 32, 0.0
Brute Force, 1, 33, 0.0
Greedy, 1, 33, 0.0
RLF, 1, 33, 0.0
Brute Force, 1, 34, 0.0
Greedy, 1, 34, 0.0
RLF, 1, 34, 0.0
Brute Force, 1, 35, 0.0
Greedy, 1, 35, 0.0
RLF, 1, 35, 0.0
Brute Force, 1, 36, 0.0
Greedy, 1, 36, 0.0
RLF, 1, 36, 0.0
Brute Force, 2, 1, 1.2364e-05
Greedy, 2, 1, 4.421e-06
RLF, 2, 1, 7.778e-06
Brute Force, 2, 2, 0.0
Greedy, 2, 2, 0.0
RLF, 2, 2, 0.0
Brute Force, 2, 3, 0.0
Greedy, 2, 3, 0.0
RLF, 2, 3, 0.0
Brute Force, 2, 4, 0.0
Greedy, 2, 4, 0.0
RLF, 2, 4, 0.0
Brute Force, 2, 5, 0.0
Greedy, 2, 5, 0.0
RLF, 2, 5, 0.0
Brute Force, 2, 6, 0.0
Greedy, 2, 6, 0.0
RLF, 2, 6, 0.0
Brute Force, 2, 7, 0.0
Greedy, 2, 7, 0.0
RLF, 2, 7, 0.0
Brute Force, 2, 8, 0.0
Greedy, 2, 8, 0.0
RLF, 2, 8, 0.0
Brute Force, 2, 9, 0.0
Greedy, 2, 9, 0.0
RLF, 2, 9, 0.0
Brute Force, 2, 10, 0.0
Greedy, 2, 10, 0.0
RLF, 2, 10, 0.0
Brute Force, 2, 11, 0.0
Greedy, 2, 11, 0.0
RLF, 2, 11, 0.0
Brute Force, 2, 12, 0.0
Greedy, 2, 12, 0.0
RLF, 2, 12, 0.0
Brute Force, 2, 13, 0.0
Greedy, 2, 13, 0.0
RLF, 2, 13, 0.0
Brute Force, 2, 14, 0.0
Greedy, 2, 14, 0.0
RLF, 2, 14, 0.0
Brute Force, 2, 15, 0.0
