id_element     x[m]     y[m]     z[m]
    0.7453000000E+04    0.9396595852E-01    0.1137166468E-02    0.0000000000E+00
    0.7454000000E+04    0.9391091909E-01    0.3410833323E-02    0.0000000000E+00
    0.7455000000E+04    0.9380087247E-01    0.5682502324E-02    0.0000000000E+00
    0.7456000000E+04    0.9363588311E-01    0.7950842867E-02    0.0000000000E+00
    0.7457000000E+04    0.9341604766E-01    0.1021452630E-01    0.0000000000E+00
    0.7458000000E+04    0.9314149488E-01    0.1247222670E-01    0.0000000000E+00
    0.7459000000E+04    0.9281238560E-01    0.1472262163E-01    0.0000000000E+00
    0.7460000000E+04    0.9242891257E-01    0.1696439298E-01    0.0000000000E+00
    0.7461000000E+04    0.9199130042E-01    0.1919622763E-01    0.0000000000E+00
    0.7462000000E+04    0.9149980547E-01    0.2141681832E-01    0.0000000000E+00
    0.7463000000E+04    0.9095471561E-01    0.2362486437E-01    0.0000000000E+00
    0.7464000000E+04    0.9035635012E-01    0.2581907244E-01    0.0000000000E+00
    0.7465000000E+04    0.8970505948E-01    0.2799815729E-01    0.0000000000E+00
    0.7466000000E+04    0.8928168552E-01    0.2933585000E-01    0.0000000000E+00
    0.7467000000E+04    0.8911426442E-01    0.2984056538E-01    0.0000000000E+00
    0.7468000000E+04    0.8894399015E-01    0.3034432534E-01    0.0000000000E+00
    0.7469000000E+04    0.8862586074E-01    0.3125626070E-01    0.0000000000E+00
    0.7470000000E+04    0.8815043970E-01    0.3257294898E-01    0.0000000000E+00
    0.7471000000E+04    0.8761588787E-01    0.3398280716E-01    0.0000000000E+00
    0.7472000000E+04    0.8701870136E-01    0.3548408944E-01    0.0000000000E+00
    0.7473000000E+04    0.8639579285E-01    0.3697488292E-01    0.0000000000E+00
    0.7474000000E+04    0.8574734648E-01    0.3845474694E-01    0.0000000000E+00
    0.7475000000E+04    0.8507355390E-01    0.3992324405E-01    0.0000000000E+00
    0.7476000000E+04    0.8437461431E-01    0.4137994019E-01    0.0000000000E+00
    0.7477000000E+04    0.8365073428E-01    0.4282440477E-01    0.0000000000E+00
    0.7478000000E+04    0.8298198093E-01    0.4410836963E-01    0.0000000000E+00
    0.7479000000E+04    0.8237367991E-01    0.4523421591E-01    0.0000000000E+00
    0.7480000000E+04    0.8175010504E-01    0.4635167479E-01    0.0000000000E+00
    0.7481000000E+04    0.8111137195E-01    0.4746053908E-01    0.0000000000E+00
    0.7482000000E+04    0.8045759908E-01    0.4856060317E-01    0.0000000000E+00
    0.7483000000E+04    0.7978890764E-01    0.4965166309E-01    0.0000000000E+00
    0.7484000000E+04    0.7925801730E-01    0.5049688015E-01    0.0000000000E+00
    0.7485000000E+04    0.7887069045E-01    0.5109972993E-01    0.0000000000E+00
    0.7486000000E+04    0.7847877832E-01    0.5169960894E-01    0.0000000000E+00
    0.7487000000E+04    0.7762403076E-01    0.5296554547E-01    0.0000000000E+00
    0.7488000000E+04    0.7628216266E-01    0.5488051401E-01    0.0000000000E+00
    0.7489000000E+04    0.7489306360E-01    0.5676150266E-01    0.0000000000E+00
    0.7490000000E+04    0.7345759363E-01    0.5860734677E-01    0.0000000000E+00
    0.7491000000E+04    0.7197664157E-01    0.6041690349E-01    0.0000000000E+00
    0.7492000000E+04    0.7045112435E-01    0.6218905239E-01    0.0000000000E+00
    0.7493000000E+04    0.6888198651E-01    0.6392269622E-01    0.0000000000E+00
    0.7494000000E+04    0.6727019961E-01    0.6561676160E-01    0.0000000000E+00
    0.1115200000E+05   -0.1137166468E-02    0.9396595852E-01    0.0000000000E+00
    0.1115300000E+05   -0.3410833323E-02    0.9391091909E-01    0.0000000000E+00
    0.1115400000E+05   -0.5682502324E-02    0.9380087247E-01    0.0000000000E+00
    0.1115500000E+05   -0.7950842867E-02    0.9363588311E-01    0.0000000000E+00
    0.1115600000E+05   -0.1021452630E-01    0.9341604766E-01    0.0000000000E+00
    0.1115700000E+05   -0.1247222670E-01    0.9314149488E-01    0.0000000000E+00
    0.1115800000E+05   -0.1472262163E-01    0.9281238560E-01    0.0000000000E+00
    0.1115900000E+05   -0.1696439298E-01    0.9242891257E-01    0.0000000000E+00
    0.1116000000E+05   -0.1919622763E-01    0.9199130042E-01    0.0000000000E+00
    0.1116100000E+05   -0.2141681832E-01    0.9149980547E-01    0.0000000000E+00
    0.1116200000E+05   -0.2362486437E-01    0.9095471561E-01    0.0000000000E+00
    0.1116300000E+05   -0.2581907244E-01    0.9035635012E-01    0.0000000000E+00
    0.1116400000E+05   -0.2799815729E-01    0.8970505948E-01    0.0000000000E+00
    0.1116500000E+05   -0.2933585000E-01    0.8928168552E-01    0.0000000000E+00
    0.1116600000E+05   -0.2984056538E-01    0.8911426442E-01    0.0000000000E+00
    0.1116700000E+05   -0.3034432534E-01    0.8894399015E-01    0.0000000000E+00
    0.1116800000E+05   -0.3125626070E-01    0.8862586074E-01    0.0000000000E+00
    0.1116900000E+05   -0.3257294898E-01    0.8815043970E-01    0.0000000000E+00
    0.1117000000E+05   -0.3398280716E-01    0.8761588787E-01    0.0000000000E+00
