id_element     x[m]     y[m]     z[m]
    0.7201000000E+04    0.6112560205E-01    0.4444954282E-01    0.0000000000E+00
    0.7202000000E+04    0.6217269785E-01    0.4498714503E-01    0.0000000000E+00
    0.7203000000E+04    0.6321979366E-01    0.4552474724E-01    0.0000000000E+00
    0.7204000000E+04    0.6426688946E-01    0.4606234945E-01    0.0000000000E+00
    0.7205000000E+04    0.6531398526E-01    0.4659995165E-01    0.0000000000E+00
    0.7206000000E+04    0.6636108106E-01    0.4713755386E-01    0.0000000000E+00
    0.7207000000E+04    0.6740817686E-01    0.4767515607E-01    0.0000000000E+00
    0.7208000000E+04    0.6845527266E-01    0.4821275828E-01    0.0000000000E+00
    0.7209000000E+04    0.6950236847E-01    0.4875036048E-01    0.0000000000E+00
    0.7210000000E+04    0.7054946427E-01    0.4928796269E-01    0.0000000000E+00
    0.7211000000E+04    0.7159656007E-01    0.4982556490E-01    0.0000000000E+00
    0.7212000000E+04    0.7264365587E-01    0.5036316711E-01    0.0000000000E+00
    0.7213000000E+04    0.7369075167E-01    0.5090076932E-01    0.0000000000E+00
    0.7214000000E+04    0.7473784747E-01    0.5143837152E-01    0.0000000000E+00
    0.7215000000E+04    0.7578494328E-01    0.5197597373E-01    0.0000000000E+00
    0.7216000000E+04    0.7683203908E-01    0.5251357594E-01    0.0000000000E+00
    0.7217000000E+04    0.6018414521E-01    0.4571674931E-01    0.0000000000E+00
    0.7218000000E+04    0.6120570742E-01    0.4629571537E-01    0.0000000000E+00
    0.7219000000E+04    0.6222726962E-01    0.4687468142E-01    0.0000000000E+00
    0.7220000000E+04    0.6324883183E-01    0.4745364747E-01    0.0000000000E+00
    0.7221000000E+04    0.6427039403E-01    0.4803261353E-01    0.0000000000E+00
    0.7222000000E+04    0.6529195624E-01    0.4861157958E-01    0.0000000000E+00
    0.7223000000E+04    0.6631351845E-01    0.4919054563E-01    0.0000000000E+00
    0.7224000000E+04    0.6733508065E-01    0.4976951168E-01    0.0000000000E+00
    0.7225000000E+04    0.6835664286E-01    0.5034847774E-01    0.0000000000E+00
    0.7226000000E+04    0.6937820506E-01    0.5092744379E-01    0.0000000000E+00
    0.7227000000E+04    0.7039976727E-01    0.5150640984E-01    0.0000000000E+00
    0.7228000000E+04    0.7142132948E-01    0.5208537590E-01    0.0000000000E+00
    0.7229000000E+04    0.7244289168E-01    0.5266434195E-01    0.0000000000E+00
    0.7230000000E+04    0.7346445389E-01    0.5324330800E-01    0.0000000000E+00
    0.7231000000E+04    0.7448601609E-01    0.5382227405E-01    0.0000000000E+00
    0.7232000000E+04    0.7550757830E-01    0.5440124011E-01    0.0000000000E+00
    0.7233000000E+04    0.5921638311E-01    0.4696399204E-01    0.0000000000E+00
    0.7234000000E+04    0.6021107222E-01    0.4758342526E-01    0.0000000000E+00
    0.7235000000E+04    0.6120576132E-01    0.4820285847E-01    0.0000000000E+00
    0.7236000000E+04    0.6220045042E-01    0.4882229168E-01    0.0000000000E+00
    0.7237000000E+04    0.6319513952E-01    0.4944172489E-01    0.0000000000E+00
